from	to	weight
3199	3366	0.5
3199	3881	0.5
3258	3321	1.0
3258	3366	1.0
3258	3881	1.0
3321	3366	1.0
3321	3881	1.0
3366	3881	1.0
2564	3114	1.0
2564	3116	1.0
2564	3160	1.0
2564	3193	1.0
2564	3252	0.333333333333
2564	3295	1.0
2564	3297	1.0
2564	3318	1.0
2564	3336	0.25
2564	3345	1.0
2564	3350	0.333333333333
2564	3359	0.333333333333
2564	3371	0.5
2564	3390	1.0
2564	3420	1.0
2564	5364	0.5
2564	5616	0.5
2564	5673	1.0
3114	3116	1.0
3114	3160	1.0
3114	3193	1.0
3114	3252	0.333333333333
3114	3295	1.0
3114	3297	1.0
3114	3318	1.0
3114	3336	0.25
3114	3345	1.0
3114	3350	0.333333333333
3114	3359	0.333333333333
3114	3371	0.5
3114	3390	1.0
3114	3420	1.0
3114	5364	0.5
3114	5616	0.5
3114	5673	1.0
3116	3160	1.0
3116	3193	1.0
3116	3252	0.333333333333
3116	3295	1.0
3116	3297	1.0
3116	3318	1.0
3116	3336	0.25
3116	3345	1.0
3116	3350	0.333333333333
3116	3359	0.333333333333
3116	3371	0.5
3116	3390	1.0
3116	3420	1.0
3116	5364	0.5
3116	5616	0.5
3116	5673	1.0
3160	3193	1.0
3160	3252	0.333333333333
3160	3295	1.0
3160	3297	1.0
3160	3318	1.0
3160	3336	0.25
3160	3345	1.0
3160	3350	0.333333333333
3160	3359	0.333333333333
3160	3371	0.5
3160	3390	1.0
3160	3420	1.0
3160	5364	0.5
3160	5616	0.5
3160	5673	1.0
3193	3252	0.333333333333
3193	3295	1.0
3193	3297	1.0
3193	3318	1.0
3193	3336	0.25
3193	3345	1.0
3193	3350	0.333333333333
3193	3359	0.333333333333
3193	3371	0.5
3193	3390	1.0
3193	3420	1.0
3193	5364	0.5
3193	5616	0.5
3193	5673	1.0
3252	3295	0.333333333333
3252	3297	0.333333333333
3252	3318	0.333333333333
3252	3336	0.25
3252	3345	0.333333333333
3252	3350	0.333333333333
3252	3359	0.333333333333
3252	3371	0.333333333333
3252	3390	0.333333333333
3252	3420	0.333333333333
3252	5364	0.333333333333
3252	5616	0.333333333333
3252	5673	0.333333333333
3295	3297	1.0
3295	3318	1.0
