Target	Isolate	SummmaryScore	NumberTested	IsolateGenus	IsolatePhylum	IsolateGenus_with_SampleSize
Fungal	LK1054	0.4	5	Gordonia	Actinomycetota	Gordonia (n=1)
Fungal	LK1055	1.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1056	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1059	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1060	1.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1063	0.2	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1072	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1073	1.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1076	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1077	0.4	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1080	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1082	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1083	0.6	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1084	0.6	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1085	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1086	1.0	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1090	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1091	1.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1092	0.6	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1093	1.6	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1094	2.0	5	Brevibacterium	Actinomycetota	Brevibacterium (n=7)
Fungal	LK1095	0.8	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1096	1.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1098	1.6	5	Morganella	Pseudomonadota	Morganella (n=1)
Fungal	LK1099	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1102	0.2	5	Oceanobacillus	Bacillota	Oceanobacillus (n=2)
Fungal	LK1103	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1106	1.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1110	1.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1112	1.2	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1113	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1116	1.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1117	1.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1118	2.0	5	Microbacterium	Actinomycetota	Microbacterium (n=1)
Fungal	LK1120	1.4	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1128	1.0	5	Dermacoccus	Actinomycetota	Dermacoccus (n=3)
Fungal	LK1136	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1137	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1138	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1139	0.4	5	Escherichia	Pseudomonadota	Escherichia (n=5)
Fungal	LK1140	0.2	5	Escherichia	Pseudomonadota	Escherichia (n=5)
Fungal	LK1145	1.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1147	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1157	0.8	5	Escherichia	Pseudomonadota	Escherichia (n=5)
Fungal	LK1162	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1167	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1168	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1170	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1172	0.4	5	Oceanobacillus	Bacillota	Oceanobacillus (n=2)
Fungal	LK1173	0.5	4	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1174	0.8	5	Citricoccus	Actinomycetota	Citricoccus (n=4)
Fungal	LK1176	0.4	5	Citricoccus	Actinomycetota	Citricoccus (n=4)
Fungal	LK1183	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1184	0.4	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1186	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1188	0.4	5	Aestuariimicrobium	Actinomycetota	Aestuariimicrobium (n=1)
Fungal	LK1196	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1197	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1198	1.6	5	Escherichia	Pseudomonadota	Escherichia (n=5)
Fungal	LK1204	0.0	5	Granulicatella	Bacillota	Granulicatella (n=1)
Fungal	LK1207	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1208	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1216	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1219	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1220	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1224	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1231	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1232	1.4	5	Escherichia	Pseudomonadota	Escherichia (n=5)
Fungal	LK1237	0.0	2	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1238	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1239	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1244	0.8	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1245	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1246	0.0	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1247	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1249	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1250	0.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1252	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1253	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1254	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1255	0.25	4	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1256	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1257	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1258	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1259	0.6	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1262	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1263	0.2	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1264	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1265	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1266	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1267	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1269	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1271	0.0	5	Nesterenkonia	Actinomycetota	Nesterenkonia (n=2)
Fungal	LK1272	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1274	1.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1275	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1277	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1278	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1279	0.0	5	Pseudoclavibacter	Actinomycetota	Pseudoclavibacter (n=1)
Fungal	LK1282	1.4	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1285	1.2	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1287	1.2	5	Rothia	Actinomycetota	Rothia (n=9)
Fungal	LK1289	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1306	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1330	1.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1333	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1334	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1335	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1337	0.0	5	Brevibacterium	Actinomycetota	Brevibacterium (n=7)
Fungal	LK1340	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1342	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1346	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1348	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1349	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1350	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1351	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK1352	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1355	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1356	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1359	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1363	1.8	5	Brevibacterium	Actinomycetota	Brevibacterium (n=7)
Fungal	LK1366	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1367	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1379	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1380	1.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1382	1.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1383	1.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1384	1.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1386	0.6	5	Dermacoccus	Actinomycetota	Dermacoccus (n=3)
Fungal	LK1387	0.2	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1388	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1390	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1393	1.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1403	0.0	5	Helcococcus	Bacillota	Helcococcus (n=2)
Fungal	LK1404	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK401	1.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK403	1.8	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK405	0.0	5	Enterococcus	Bacillota	Enterococcus (n=1)
Fungal	LK408	1.0	3	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK409	2.0	3	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK411	0.0	3	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK413	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK414	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK415	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK419	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK421	1.8	5	Sphingobacterium	Bacteroidota	Sphingobacterium (n=3)
Fungal	LK425	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK426	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK428	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK432	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK434	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK435	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK436	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK438	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK439	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK441	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK442	0.4	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK443	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK444	0.6	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK445	1.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK449	0.75	4	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK452	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK454	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK455	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK456	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK457	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK458	1.8	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK459	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK460	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK461	0.0	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK464	1.4	5	Peribacillus	Bacillota	Peribacillus (n=1)
Fungal	LK465	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK466	0.8	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK467	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK469	0.4	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK470	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK471	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK473	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK478	0.0	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK480	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK485	2.0	5	Sphingobacterium	Bacteroidota	Sphingobacterium (n=3)
Fungal	LK486	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK488	0.6	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK489	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK490	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK494	0.0	5	Citrobacter	Pseudomonadota	Citrobacter (n=2)
Fungal	LK496	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK497	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK500	1.2	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK501	1.6	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK503	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK504	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK507	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK515	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK516	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK518	0.8	5	Nesterenkonia	Actinomycetota	Nesterenkonia (n=2)
Fungal	LK519	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK522	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK523	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK524	0.8	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK525	1.4	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK526	0.8	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK527	0.2	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK528	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK529	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK530	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK531	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK533	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK535	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK538	1.2	5	Janibacter	Actinomycetota	Janibacter (n=2)
Fungal	LK541	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK542	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK543	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK544	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK547	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK548	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK549	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK550	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK551	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK552	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK553	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK555	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK556	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK557	0.0	5	Dermabacter	Actinomycetota	Dermabacter (n=9)
Fungal	LK560	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK561	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK567	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK569	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK570	0.4	5	Raoultella	Pseudomonadota	Raoultella (n=1)
Fungal	LK571	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK572	1.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK574	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK579	0.0	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK580	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK581	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK583	1.6	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK585	1.2	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK586	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK587	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK588	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK590	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK591	0.4	5	Enterobacter	Pseudomonadota	Enterobacter (n=1)
Fungal	LK593	2.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK594	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK595	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK596	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK597	0.4	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK600	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK601	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK602	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK603	0.2	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK605	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK606	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK615	0.2	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK616	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK617	0.0	5	Helcococcus	Bacillota	Helcococcus (n=2)
Fungal	LK619	0.8	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK620	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK622	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK623	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK625	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK626	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK630	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK635	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK636	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK637	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK639	0.0	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK657	1.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK659	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK660	0.0	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK661	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK662	0.8	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK664	0.0	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK665	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK666	0.4	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK668	1.8	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK669	0.4	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK670	0.4	5	Klebsiella	Pseudomonadota	Klebsiella (n=14)
Fungal	LK672	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK673	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK675	1.8	5	Lysinibacillus	Bacillota	Lysinibacillus (n=7)
Fungal	LK679	1.2	5	Janibacter	Actinomycetota	Janibacter (n=2)
Fungal	LK681	1.6	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK683	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK684	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK685	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK686	1.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK687	0.0	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK688	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK690	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK691	0.0	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK692	1.8	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK693	0.4	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK696	2.0	5	Bacillus	Bacillota	Bacillus (n=9)
Fungal	LK697	0.0	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK698	1.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK704	1.6	5	Citrobacter	Pseudomonadota	Citrobacter (n=2)
