Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK900	p3-SID1320	KHID108	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK901	p3-SID1308	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
LK902	p3-SID1264	KHID102	Healthy Skin	Umbilicus	N	N	N	N	
LK903	p3-SID1311	KHID108	Healthy Skin	Volar forearm	Y	Y	N	N	Micrococcus
LK904	p3-SID1233	KHID111	Healthy Skin	Toe web space	N	N	Y	Y	Brevibacterium
LK905	p3-SID889	KHID72	Healthy Skin	Umbilicus	N	N	N	N	Micrococcus
LK906	p3-SID1234	KHID111	Healthy Skin	Toe web space	N	N	N	N	
LK907	p3-SID1267	KHID88	Healthy Skin	Toe web space	N	N	N	N	
LK908	p3-SID1247	KHID112	Healthy Skin	Alar crease	N	N	N	N	
LK909	p3-SID1307	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
LK910	p3-SID869	KHID70	Healthy Skin	Volar forearm	N	N	N	N	
LK911	p3-SID1133	KHID106	Healthy Skin	Occiput	Y	Y	N	N	Micrococcus
LK912	p3-SID1248	KHID112	Healthy Skin	Alar crease	Y	Y	N	N	Citricoccus
LK913	p3-SID1254	KHID103	Healthy Skin	Toe web space	N	N	N	N	
LK914	p3-SID1350	KHID144	Healthy Skin	Alar crease	N	N	N	N	
LK915	p3-SID1312	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
LK916	p3-SID1313	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
LK917	p3-SID1249	KHID112	Healthy Skin	Alar crease	N	N	N	N	
LK918	p3-SID1198	KHID111	Healthy Skin	Toe web space	N	N	N	N	
LK919	p3-SID1238	KHID104	Healthy Skin	Alar crease	N	N	N	N	
LK920	p3-SID1131	KHID105	Healthy Skin	Nares	N	N	N	N	
LK921	p3-SID1138b	KHID110	Healthy Skin	Umbilicus	N	N	N	N	
LK922	p3-SID1298	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK923	p3-SID1138a	KHID110	Healthy Skin	Umbilicus	N	N	N	N	
LK924	p3-SID1259	KHID88	Healthy Skin	Toe web space	N	N	N	N	
LK925	p3-SID1291	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK926	p3-SID1245	KHID112	Healthy Skin	Alar crease	N	N	N	N	
LK927	p3-SID1284	KHID97	Healthy Skin	Nares	N	N	N	N	
LK930	p3-SID1220	KHID86	Healthy Skin	Antecubital fossa	N	N	Y	Y	Corynebacterium
LK931	p3-SID1140	KHID92	Healthy Skin	Back	Y	Y	Y	N	Corynebacterium
LK932	p3-SID1294	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK933	p3-SID868	KHID71	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK934	p3-SID1135	KHID105	Healthy Skin	Nares	Y	Y	Y	Y	Kocuria
LK935	p3-SID1263	KHID102	Healthy Skin	Umbilicus	Y	Y	Y	Y	Corynebacterium
