Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK1347	p3-SID970	KHID90	Healthy Skin	Nares	N	N	Y	Y	Pseudoglutamicibacter
LK1348	p3-SID973	KHID94	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Corynebacterium
LK1349	p3-SID1172	KHID86	Healthy Skin	Antecubital fossa	Y	Y	N	N	Corynebacterium
LK1350	p3-SID1171	KHID86	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Brachybacterium
LK1351	p3-SID955	KHID90	Healthy Skin	Nares	Y	Y	Y	Y	Dermabacter
LK1352	p3-SID957	KHID89	Healthy Skin	Alar crease	Y	Y	Y	Y	Brachybacterium
LK1353	p3-SID1078	KHID84	Healthy Skin	Back	Y	Y	N	N	Dermabacter
LK1354	p3-SID1079	KHID83	Healthy Skin	Occiput	N	N	N	N	Janibacter
LK1355	p3-SID1116	KHID107	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK1356	p3-SID1117	KHID107	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK1357	p3-SID1121	KHID107	Healthy Skin	Back	Y	N	N	N	
LK1358	p3-SID1194	KHID117	Healthy Skin	Antecubital fossa	N	N	Y	Y	Corynebacterium
LK1359	p3-SID1025	KHID115	Healthy Skin	Back	Y	Y	N	N	Corynebacterium
LK1360	p3-SID1027	KHID115	Healthy Skin	Back	N	N	Y	N	Corynebacterium
LK1361	p3-SID1006	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK1362	p3-SID1008	KHID115	Healthy Skin	Back	N	N	Y	Y	Corynebacterium
LK1363	p3-SID1059	KHID119	Healthy Skin	Toe web space	Y	Y	Y	Y	Brevibacterium
LK1364	p3-SID1175	KHID87	Healthy Skin	Umbilicus	N	N	N	N	
LK1365	p3-SID1018	KHID116	Healthy Skin	Volar forearm	Y	Y	N	N	Corynebacterium
LK1366	p3-SID1019	KHID116	Healthy Skin	Volar forearm	Y	Y	Y	Y	Corynebacterium
LK1367	p3-SID1026	KHID115	Healthy Skin	Back	Y	Y	Y	N	Corynebacterium
LK1368	p3-SID691	KHID72	Healthy Skin	Umbilicus	N	N	N	N	Micromonospora
LK1369	p3-SID825	KHID76	Healthy Skin	Occiput	N	N	N	N	Janibacter
LK1370	p3-SID686	KHID61	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1371	p3-SID585	KHID55	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1372	p3-SID831	KHID76	Healthy Skin	Occiput	N	N	N	N	
LK1373	p3-SID603	KHID58	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK1374	p3-SID602	KHID58	Healthy Skin	Alar crease	Y	Y	N	N	Kocuria
LK1375	p3-SID635	KHID52	Healthy Skin	Occiput	N	N	N	N	
LK1376	p3-SID614	KHID54	Healthy Skin	Volar forearm	N	N	N	N	
LK1377	p3-SID2508	KHID74	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1378	p3-SID2509	KHID74	Healthy Skin	Alar crease	N	N	N	N	Micrococcus
LK1379	p3-SID2510	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Micrococcus
LK1380	p3-SID2511	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1381	p3-SID2512	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1382	p3-SID2513	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1383	p3-SID2514	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1384	p3-SID2515	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1385	p3-SID2516	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1386	p3-SID2517	KHID48	Healthy Skin	Umbilicus	Y	Y	Y	Y	Dermacoccus
LK1387	p3-SID2518	KHID48	Healthy Skin	Umbilicus	Y	Y	N	N	Corynebacterium
LK1388	p3-SID2519	KHID75	Healthy Skin	Nares	Y	Y	N	N	Corynebacterium
LK1389	p3-SID2520	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1390	p3-SID2521	KHID76	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1391	p3-SID2522	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1392	p3-SID2523	KHID76	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1393	p3-SID2524	KHID76	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1394	p3-SID2525	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1395	p3-SID2526	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1396	p3-SID2527	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1397	p3-SID2528	KHID76	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1398	p3-SID2529	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1399	p3-SID2530	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1400	p3-SID2531	KHID76	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1401	p3-SID2532	KHID74	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1402	p3-SID2533	KHID78	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK1403	p3-SID2534	KHID48	Healthy Skin	Umbilicus	Y	Y	Y	N	Helcococcus
LK1404	p3-SID2535	KHID75	Healthy Skin	Nares	Y	Y	Y	Y	Brachybacterium
LK1405	p3-SID2536	KHID76	Healthy Skin	Occiput	N	N	N	N	
LK399	p3-SID890	KHID72	Healthy Skin	Umbilicus	Y	N	N	N	Micrococcus
LK400	p3-SID891	KHID72	Healthy Skin	Umbilicus	Y	N	Y	N	Micrococcus
LK401	p3-SID892	KHID68	Healthy Skin	Occiput	Y	Y	Y	N	Staphylococcus
LK402	p3-SID893	KHID68	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK403	p3-SID894	KHID68	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK404	p3-SID895	KHID64	Healthy Skin	Umbilicus	Y	N	N	N	Micrococcus
LK405	p3-SID896	KHID64	Healthy Skin	Umbilicus	Y	Y	Y	Y	Enterococcus
LK406	p3-SID897	KHID65	Healthy Skin	Toe web space	Y	N	N	N	Micrococcus
LK407	p3-SID898	KHID65	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK408	p3-SID899	KHID65	Healthy Skin	Toe web space	Y	Y	Y	Y	Micrococcus
LK409	p3-SID868	KHID71	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK410	p3-SID869	KHID70	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK411	p3-SID870	KHID70	Healthy Skin	Volar forearm	Y	Y	Y	Y	Corynebacterium
LK412	p3-SID861	KHID47	Healthy Skin	Antecubital fossa	Y	N	Y	N	Micrococcus
LK413	p3-SID855	KHID36	Healthy Skin	Occiput	Y	Y	Y	Y	Staphylococcus
LK414	p3-SID858	KHID36	Healthy Skin	Occiput	Y	Y	Y	N	Staphylococcus
LK415	p3-SID856	KHID36	Healthy Skin	Occiput	Y	Y	Y	N	Staphylococcus
LK416	p3-SID857	KHID36	Healthy Skin	Occiput	Y	Y	N	N	Micrococcus
LK417	p3-SID742	KHID33	Healthy Skin	Toe web space	Y	Y	Y	Y	Staphylococcus
LK418	p3-SID740	KHID33	Healthy Skin	Toe web space	Y	N	N	N	Micrococcus
LK419	p3-SID631	KHID52	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK420	p3-SID632	KHID52	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK421	p3-SID743	KHID33	Healthy Skin	Toe web space	Y	Y	Y	Y	Sphingobacterium
LK422	p3-SID629	KHID70	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK423	p3-SID683	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK424	p3-SID889	KHID72	Healthy Skin	Umbilicus	Y	N	N	N	
LK425	p3-SID881	KHID48	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK426	p3-SID888	KHID69	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK427	p3-SID765	KHID78	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK428	p3-SID721	KHID38	Healthy Skin	Volar forearm	Y	Y	Y	Y	Staphylococcus
LK429	p3-SID722	KHID39	Healthy Skin	Antecubital fossa	Y	Y	N	N	Bacillus
LK430	p3-SID675	KHID63	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK431	p3-SID771	KHID77	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK432	p3-SID792	KHID74	Healthy Skin	Alar crease	Y	Y	Y	N	Corynebacterium
LK433	p3-SID893	KHID68	Healthy Skin	Occiput	N	N	N	N	Micrococcus
LK434	p3-SID879	KHID48	Healthy Skin	Umbilicus	Y	Y	Y	Y	Corynebacterium
LK435	p3-SID880	KHID48	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK436	p3-SID876	KHID28	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK437	p3-SID749	KHID33	Healthy Skin	Toe web space	Y	N	N	N	Micrococcus
LK438	p3-SID748	KHID33	Healthy Skin	Toe web space	Y	Y	N	N	Micrococcus
LK439	p3-SID800	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Dietzia
LK440	p3-SID811	KHID77	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK441	p3-SID810	KHID77	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK442	p3-SID701	KHID43	Healthy Skin	Nares	Y	Y	Y	N	Klebsiella
LK443	p3-SID750	KHID31	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK444	p3-SID751	KHID32	Healthy Skin	Umbilicus	Y	Y	Y	Y	Corynebacterium
LK445	p3-SID612	KHID54	Healthy Skin	Volar forearm	Y	Y	Y	N	Staphylococcus
LK446	p3-SID892	KHID68	Healthy Skin	Occiput	N	N	N	N	Micrococcus
LK447	p3-SID896	KHID64	Healthy Skin	Umbilicus	N	N	N	N	Corynebacterium
LK448	p3-SID895	KHID64	Healthy Skin	Umbilicus	N	N	N	N	Micrococcus
LK449	p3-SID832	KHID76	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK450	p3-SID746	KHID33	Healthy Skin	Toe web space	Y	Y	N	N	Penicillium
LK451	p3-SID897	KHID65	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK452	p3-SID681	KHID61	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK453	p3-SID677	KHID61	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK454	p3-SID878	KHID64	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK455	p3-SID723	KHID34	Healthy Skin	Alar crease	Y	Y	Y	Y	Micrococcus
LK456	p3-SID725	KHID34	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK457	p3-SID724	KHID34	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK458	p3-SID663	KHID59	Healthy Skin	Nares	Y	Y	Y	N	Klebsiella
LK459	p3-SID728	KHID30	Healthy Skin	Volar forearm	Y	Y	Y	N	Staphylococcus
LK460	p3-SID620	KHID62	Healthy Skin	Volar forearm	Y	Y	Y	N	Staphylococcus
LK461	p3-SID621	KHID62	Healthy Skin	Volar forearm	Y	Y	N	N	Klebsiella
LK462	p3-SID622	KHID62	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK463	p3-SID616	KHID54	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK464	p3-SID801	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Peribacillus
LK465	p3-SID764	KHID75	Healthy Skin	Nares	Y	Y	Y	N	Corynebacterium
LK466	p3-SID763	KHID75	Healthy Skin	Nares	Y	Y	Y	Y	Corynebacterium
LK467	p3-SID733	KHID30	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK468	p3-SID658	KHID53	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK469	p3-SID656	KHID59	Healthy Skin	Nares	Y	Y	Y	N	Klebsiella
LK470	p3-SID653	KHID67	Healthy Skin	Nares	Y	Y	Y	Y	Staphylococcus
LK471	p3-SID687	KHID73	Healthy Skin	Toe web space	Y	Y	N	N	Micrococcus
LK472	p3-SID657	KHID53	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK473	p3-SID860	KHID47	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK474	p3-SID836	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK475	p3-SID837	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK476	p3-SID838	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK477	p3-SID865	KHID71	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK478	p3-SID866	KHID71	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Kocuria
LK479	p3-SID867	KHID71	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Paenibacillus
LK480	p3-SID679	KHID61	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK481	p3-SID680	KHID61	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK482	p3-SID682	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK483	p3-SID684	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK484	p3-SID846	KHID79	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK485	p3-SID741	KHID33	Healthy Skin	Toe web space	Y	Y	Y	Y	Sphingobacterium
LK486	p3-SID739	KHID33	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK487	p3-SID628	KHID70	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK488	p3-SID752	KHID32	Healthy Skin	Umbilicus	Y	Y	Y	Y	Corynebacterium
LK489	p3-SID760	KHID47	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Staphylococcus
LK490	p3-SID759	KHID42	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK491	p3-SID617	KHID54	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK492	p3-SID727	KHID30	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK493	p3-SID676	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK494	p3-SID762	KHID35	Healthy Skin	Nares	Y	Y	Y	Y	Citrobacter
LK495	p3-SID768	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Bacillus
LK496	p3-SID699	KHID26	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK497	p3-SID700	KHID26	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK498	p3-SID833	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK499	p3-SID899	KHID65	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK500	p3-SID599	KHID58	Healthy Skin	Alar crease	Y	Y	Y	N	Klebsiella
LK501	p3-SID600	KHID58	Healthy Skin	Alar crease	Y	Y	Y	N	Klebsiella
LK502	p3-SID714	KHID40	Healthy Skin	Umbilicus	N	N	N	N	
LK503	p3-SID718	KHID44	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK504	p3-SID639	KHID52	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK505	p3-SID638	KHID52	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK506	p3-SID637	KHID52	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK507	p3-SID636	KHID52	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK508	p3-SID653	KHID67	Healthy Skin	Nares	N	N	Y	Y	Micrococcus
LK509	p3-SID615	KHID54	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK510	p3-SID610	KHID54	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK511	p3-SID611	KHID54	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK512	p3-SID607	KHID62	Healthy Skin	Volar forearm	N	N	N	N	Bacillus
LK513	p3-SID609	KHID62	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK514	p3-SID729	KHID30	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK515	p3-SID730	KHID30	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK516	p3-SID731	KHID30	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK517	p3-SID732	KHID30	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK518	p3-SID767	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Nesterenkonia
LK519	p3-SID766	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Corynebacterium
LK520	p3-SID775	KHID77	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK521	p3-SID827	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK522	p3-SID877	KHID64	Healthy Skin	Umbilicus	Y	Y	Y	Y	Dermabacter
LK523	p3-SID719	KHID44	Healthy Skin	Occiput	Y	Y	Y	Y	Staphylococcus
LK524	p3-SID654	KHID67	Healthy Skin	Nares	Y	Y	Y	Y	Staphylococcus
LK525	p3-SID597	KHID58	Healthy Skin	Alar crease	Y	Y	Y	N	Klebsiella
LK526	p3-SID595	KHID58	Healthy Skin	Alar crease	Y	Y	Y	N	Klebsiella
LK527	p3-SID596	KHID58	Healthy Skin	Alar crease	Y	Y	Y	N	Klebsiella
LK528	p3-SID646	KHID32	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK529	p3-SID647	KHID32	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK530	p3-SID744	KHID41	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK531	p3-SID649	KHID72	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK532	p3-SID608	KHID62	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK533	p3-SID791	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Staphylococcus
LK534	p3-SID670	KHID60	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK535	p3-SID671	KHID60	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK536	p3-SID665	KHID60	Healthy Skin	Occiput	Y	Y	N	N	Niallia
LK537	p3-SID821	KHID79	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK538	p3-SID813	KHID77	Healthy Skin	Back	Y	Y	Y	Y	Janibacter
LK539	p3-SID776	KHID77	Healthy Skin	Back	N	N	N	N	
LK540	p3-SID793	KHID74	Healthy Skin	Alar crease	N	N	Y	N	Micrococcus
LK541	p3-SID822	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK542	p3-SID630	KHID52	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK543	p3-SID662	KHID50	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK544	p3-SID661	KHID50	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK545	p3-SID660	KHID53	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK546	p3-SID659	KHID53	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK547	p3-SID645	KHID49	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK548	p3-SID644	KHID49	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK549	p3-SID643	KHID49	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK550	p3-SID642	KHID59	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK551	p3-SID641	KHID59	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK552	p3-SID640	KHID50	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK553	p3-SID690	KHID57	Healthy Skin	Toe web space	Y	Y	Y	Y	Micrococcus
LK554	p3-SID688	KHID69	Healthy Skin	Back	N	N	N	N	Staphylococcus
LK555	p3-SID717	KHID37	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK556	p3-SID716	KHID26	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK557	p3-SID715	KHID40	Healthy Skin	Umbilicus	Y	Y	Y	Y	Dermabacter
LK558	p3-SID674	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK559	p3-SID673	KHID63	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK560	p3-SID672	KHID63	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK561	p3-SID581	KHID67	Healthy Skin	Nares	Y	Y	Y	Y	Corynebacterium
LK562	p3-SID871	KHID70	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK563	p3-SID777	KHID77	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK564	p3-SID710	KHID29	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK565	p3-SID918	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK566	p3-SID619	KHID66	Healthy Skin	Alar crease	Y	N	Y	N	Micrococcus
LK567	p3-SID613	KHID54	Healthy Skin	Volar forearm	Y	Y	N	N	Micrococcus
LK568	p3-SID650	KHID53	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK569	p3-SID709	KHID29	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK570	p3-SID696	KHID43	Healthy Skin	Nares	Y	Y	Y	Y	Raoultella
LK571	p3-SID850	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK572	p3-SID917	KHID68	Healthy Skin	Occiput	Y	Y	Y	Y	Kocuria
LK573	p3-SID911	KHID71	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK574	p3-SID648	KHID72	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK575	p3-SID823	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK576	p3-SID916	KHID72	Healthy Skin	Umbilicus	Y	N	N	N	Micrococcus
LK577	p3-SID633	KHID52	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK578	p3-SID887	KHID69	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK579	p3-SID884	KHID45	Healthy Skin	Back	Y	Y	Y	N	Kocuria
LK580	p3-SID652	KHID68	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK581	p3-SID698	KHID26	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK582	p3-SID824	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK583	p3-SID695	KHID43	Healthy Skin	Nares	Y	Y	Y	Y	Klebsiella
LK584	p3-SID711	KHID29	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK585	p3-SID848	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Bacillus
LK586	p3-SID921	KHID74	Healthy Skin	Alar crease	Y	Y	Y	N	Corynebacterium
LK587	p3-SID651	KHID53	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK588	p3-SID780	KHID77	Healthy Skin	Back	Y	Y	Y	N	Staphylococcus
LK589	p3-SID585	KHID55	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK590	p3-SID584	KHID55	Healthy Skin	Antecubital fossa	Y	Y	Y	N	Staphylococcus
LK591	p3-SID886	KHID50	Healthy Skin	Alar crease	Y	Y	Y	Y	Enterobacter
LK592	p3-SID885	KHID50	Healthy Skin	Alar crease	N	N	N	N	Staphylococcus
LK593	p3-SID786	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	N	Staphylococcus
LK594	p3-SID883	KHID45	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK595	p3-SID790	KHID74	Healthy Skin	Alar crease	Y	Y	Y	N	Staphylococcus
LK596	p3-SID589	KHID55	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK597	p3-SID669	KHID60	Healthy Skin	Occiput	Y	Y	N	N	Bacillus
LK598	p3-SID842	KHID78	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK599	p3-SID841	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Staphylococcus
LK600	p3-SID815	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK601	p3-SID816	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK602	p3-SID818	KHID79	Healthy Skin	Antecubital fossa	Y	Y	Y	N	Staphylococcus
LK603	p3-SID873	KHID56	Healthy Skin	Umbilicus	Y	Y	N	N	Bacillus
LK604	p3-SID875	KHID56	Healthy Skin	Umbilicus	Y	N	Y	N	Micrococcus
LK605	p3-SID829	KHID76	Healthy Skin	Occiput	Y	Y	Y	N	Staphylococcus
LK606	p3-SID779	KHID77	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK607	p3-SID604	KHID51	Healthy Skin	Nares	N	N	N	N	
LK608	p3-SID819	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	
LK609	p3-SID820	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	Staphylococcus
LK610	p3-SID799	KHID74	Healthy Skin	Alar crease	N	N	Y	N	Staphylococcus
LK611	p3-SID839	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Staphylococcus
LK612	p3-SID778	KHID77	Healthy Skin	Back	N	N	N	N	
LK613	p3-SID817	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	Staphylococcus
LK614	p3-SID863	KHID42	Healthy Skin	Alar crease	N	N	N	N	
LK615	p3-SID774	KHID77	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK616	p3-SID840	KHID78	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK617	p3-SID713	KHID48	Healthy Skin	Umbilicus	Y	Y	Y	Y	Helcococcus
LK618	p3-SID913	KHID64	Healthy Skin	Umbilicus	N	N	N	N	
LK619	p3-SID664	KHID59	Healthy Skin	Nares	Y	Y	Y	N	Klebsiella
LK620	p3-SID666	KHID60	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK621	p3-SID667	KHID60	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK622	p3-SID668	KHID60	Healthy Skin	Occiput	Y	Y	N	N	Micrococcus
LK623	p3-SID626	KHID70	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK624	p3-SID741	KHID33	Healthy Skin	Toe web space	N	N	N	N	Sphingobacterium
LK625	p3-SID789	KHID74	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK626	p3-SID583	KHID67	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK627	p3-SID795	KHID74	Healthy Skin	Alar crease	N	N	N	N	
LK628	p3-SID894	KHID68	Healthy Skin	Occiput	N	N	N	N	Staphylococcus
LK629	p3-SID864	KHID71	Healthy Skin	Antecubital fossa	N	N	N	N	
LK630	p3-SID772	KHID77	Healthy Skin	Back	Y	Y	Y	Y	Brachybacterium
LK631	p3-SID606	KHID73	Healthy Skin	Toe web space	N	N	N	N	
LK632	p3-SID594	KHID51	Healthy Skin	Nares	N	N	N	N	
LK633	p3-SID720	KHID38	Healthy Skin	Volar forearm	N	N	N	N	
