Target	Isolate	SummmaryScore	NumberTested	IsolateGenus	IsolatePhylum
Fungal	LK1082	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1083	0.6	5	Rothia	Actinomycetota
Fungal	LK1084	0.6	5	Corynebacterium	Actinomycetota
Fungal	LK1085	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK1086	1.0	5	Rothia	Actinomycetota
Fungal	LK1090	1.2	5	Micrococcus	Actinomycetota
Fungal	LK1091	1.4	5	Micrococcus	Actinomycetota
Fungal	LK1092	0.6	5	Dietzia	Actinomycetota
Fungal	LK1093	1.6	5	Kocuria	Actinomycetota
Fungal	LK1094	2.0	5	Brevibacterium	Actinomycetota
Fungal	LK1095	0.8	5	Staphylococcus	Bacillota
Fungal	LK1096	1.0	5	Staphylococcus	Bacillota
Fungal	LK1098	1.6	5	Morganella	Pseudomonadota
Fungal	LK1099	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1102	0.2	5	Oceanobacillus	Bacillota
Fungal	LK1103	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1106	1.4	5	Micrococcus	Actinomycetota
Fungal	LK1110	1.2	5	Staphylococcus	Bacillota
Fungal	LK1112	1.2	5	Rothia	Actinomycetota
Fungal	LK1113	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1116	1.4	5	Staphylococcus	Bacillota
Fungal	LK1117	1.4	5	Micrococcus	Actinomycetota
Fungal	LK1118	2.0	5	Microbacterium	Actinomycetota
Fungal	LK1120	1.4	5	Kocuria	Actinomycetota
Fungal	LK1127	0.4	5	Bacillus	Bacillota
Fungal	LK1128	1.0	5	Dermacoccus	Actinomycetota
Fungal	LK1136	0.6	5	Staphylococcus	Bacillota
Fungal	LK1137	0.6	5	Staphylococcus	Bacillota
Fungal	LK1138	0.6	5	Staphylococcus	Bacillota
Fungal	LK1139	0.4	5	Escherichia	Pseudomonadota
Fungal	LK1140	0.2	5	Escherichia	Pseudomonadota
Fungal	LK1145	1.0	5	Micrococcus	Actinomycetota
Fungal	LK1147	1.2	5	Micrococcus	Actinomycetota
Fungal	LK1157	0.8	5	Escherichia	Pseudomonadota
Fungal	LK1162	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1167	0.2	5	Staphylococcus	Bacillota
Fungal	LK1168	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1170	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1172	0.4	5	Oceanobacillus	Bacillota
Fungal	LK1173	0.5	4	Micrococcus	Actinomycetota
Fungal	LK1174	0.8	5	Citricoccus	Actinomycetota
Fungal	LK1176	0.4	5	Citricoccus	Actinomycetota
Fungal	LK1183	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK1184	0.4	5	Kocuria	Actinomycetota
Fungal	LK1186	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1188	0.4	5	Aestuariimicrobium	Actinomycetota
Fungal	LK1196	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1197	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1198	1.6	5	Escherichia	Pseudomonadota
Fungal	LK1204	0.0	5	Granulicatella	Bacillota
Fungal	LK1207	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1208	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1216	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1219	0.0	5	Staphylococcus	Bacillota
Fungal	LK1220	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1224	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1231	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1232	1.4	5	Escherichia	Pseudomonadota
Fungal	LK1237	0.0	2	Kocuria	Actinomycetota
Fungal	LK1238	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1239	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1244	0.8	5	Rothia	Actinomycetota
Fungal	LK1245	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1246	0.0	5	Kocuria	Actinomycetota
Fungal	LK1247	0.0	5	Dietzia	Actinomycetota
Fungal	LK1249	0.0	5	Dietzia	Actinomycetota
Fungal	LK1250	0.2	5	Kocuria	Actinomycetota
Fungal	LK1252	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1253	0.2	5	Staphylococcus	Bacillota
Fungal	LK1254	0.0	5	Staphylococcus	Bacillota
Fungal	LK1255	0.25	4	Staphylococcus	Bacillota
Fungal	LK1256	0.0	5	Dietzia	Actinomycetota
Fungal	LK1257	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1258	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1259	0.6	5	Rothia	Actinomycetota
Fungal	LK1262	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1263	0.2	5	Rothia	Actinomycetota
Fungal	LK1264	0.2	5	Staphylococcus	Bacillota
Fungal	LK1265	0.0	5	Staphylococcus	Bacillota
Fungal	LK1266	0.0	5	Dietzia	Actinomycetota
Fungal	LK1267	0.0	5	Dietzia	Actinomycetota
Fungal	LK1269	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1271	0.0	5	Nesterenkonia	Actinomycetota
Fungal	LK1272	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1274	1.6	5	Micrococcus	Actinomycetota
Fungal	LK1275	0.6	5	Micrococcus	Actinomycetota
Fungal	LK1277	0.0	5	Dietzia	Actinomycetota
Fungal	LK1278	0.0	5	Dietzia	Actinomycetota
Fungal	LK1279	0.0	5	Pseudoclavibacter	Actinomycetota
Fungal	LK1282	1.4	5	Rothia	Actinomycetota
Fungal	LK1285	1.2	5	Rothia	Actinomycetota
Fungal	LK1287	1.2	5	Rothia	Actinomycetota
Fungal	LK1289	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1299	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1306	1.2	5	Micrococcus	Actinomycetota
Fungal	LK1330	1.6	5	Micrococcus	Actinomycetota
Fungal	LK1333	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1334	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1335	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1337	0.0	5	Brevibacterium	Actinomycetota
Fungal	LK1340	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1341	0.0	5	Staphylococcus	Bacillota
Fungal	LK1342	0.2	5	Staphylococcus	Bacillota
Fungal	LK1346	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK1348	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1349	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1350	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK1351	0.0	5	Dermabacter	Actinomycetota
Fungal	LK1352	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK1353	0.6	5	Dermabacter	Actinomycetota
Fungal	LK1355	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1356	0.0	5	Micrococcus	Actinomycetota
Fungal	LK1359	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1363	1.8	5	Brevibacterium	Actinomycetota
Fungal	LK1365	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1366	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1367	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1379	0.8	5	Micrococcus	Actinomycetota
Fungal	LK1380	1.4	5	Micrococcus	Actinomycetota
Fungal	LK1382	1.0	5	Micrococcus	Actinomycetota
Fungal	LK1383	1.0	5	Micrococcus	Actinomycetota
Fungal	LK1384	1.0	5	Micrococcus	Actinomycetota
Fungal	LK1386	0.6	5	Dermacoccus	Actinomycetota
Fungal	LK1387	0.2	5	Corynebacterium	Actinomycetota
Fungal	LK1388	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK1390	0.4	5	Micrococcus	Actinomycetota
Fungal	LK1393	1.0	5	Micrococcus	Actinomycetota
Fungal	LK1403	0.0	5	Helcococcus	Bacillota
Fungal	LK1404	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK401	1.0	5	Staphylococcus	Bacillota
Fungal	LK403	1.8	5	Staphylococcus	Bacillota
Fungal	LK405	0.0	5	Enterococcus	Bacillota
Fungal	LK407	0.4	5	Staphylococcus	Bacillota
Fungal	LK408	1.0	3	Micrococcus	Actinomycetota
Fungal	LK409	2.0	3	Micrococcus	Actinomycetota
Fungal	LK411	0.0	3	Corynebacterium	Actinomycetota
Fungal	LK413	0.6	5	Staphylococcus	Bacillota
Fungal	LK414	0.6	5	Staphylococcus	Bacillota
Fungal	LK415	0.6	5	Staphylococcus	Bacillota
Fungal	LK419	1.2	5	Micrococcus	Actinomycetota
Fungal	LK421	1.8	5	Sphingobacterium	Bacteroidota
Fungal	LK425	0.0	5	Micrococcus	Actinomycetota
Fungal	LK426	0.2	5	Micrococcus	Actinomycetota
Fungal	LK428	0.0	5	Staphylococcus	Bacillota
Fungal	LK432	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK434	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK435	0.4	5	Staphylococcus	Bacillota
Fungal	LK436	0.0	5	Staphylococcus	Bacillota
Fungal	LK438	0.6	5	Micrococcus	Actinomycetota
Fungal	LK439	0.0	5	Dietzia	Actinomycetota
Fungal	LK441	0.8	5	Micrococcus	Actinomycetota
Fungal	LK442	0.4	5	Klebsiella	Pseudomonadota
Fungal	LK443	1.2	5	Micrococcus	Actinomycetota
Fungal	LK444	0.6	5	Corynebacterium	Actinomycetota
Fungal	LK445	1.6	5	Staphylococcus	Bacillota
Fungal	LK449	0.75	4	Staphylococcus	Bacillota
Fungal	LK452	0.0	5	Staphylococcus	Bacillota
Fungal	LK454	0.6	5	Micrococcus	Actinomycetota
Fungal	LK455	0.8	5	Micrococcus	Actinomycetota
Fungal	LK456	0.0	5	Staphylococcus	Bacillota
Fungal	LK457	0.0	5	Staphylococcus	Bacillota
Fungal	LK458	1.8	5	Klebsiella	Pseudomonadota
Fungal	LK459	0.6	5	Staphylococcus	Bacillota
Fungal	LK460	0.6	5	Staphylococcus	Bacillota
Fungal	LK461	0.0	5	Klebsiella	Pseudomonadota
Fungal	LK464	1.4	5	Peribacillus	Bacillota
Fungal	LK465	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK466	0.8	5	Corynebacterium	Actinomycetota
Fungal	LK467	0.8	5	Micrococcus	Actinomycetota
Fungal	LK469	0.4	5	Klebsiella	Pseudomonadota
Fungal	LK470	0.6	5	Staphylococcus	Bacillota
Fungal	LK471	0.4	5	Micrococcus	Actinomycetota
Fungal	LK473	0.0	5	Staphylococcus	Bacillota
Fungal	LK478	0.0	5	Kocuria	Actinomycetota
Fungal	LK480	0.2	5	Staphylococcus	Bacillota
Fungal	LK485	2.0	5	Sphingobacterium	Bacteroidota
Fungal	LK486	0.0	5	Staphylococcus	Bacillota
Fungal	LK488	0.6	5	Corynebacterium	Actinomycetota
Fungal	LK489	0.0	5	Staphylococcus	Bacillota
Fungal	LK490	0.6	5	Staphylococcus	Bacillota
Fungal	LK494	0.0	5	Citrobacter	Pseudomonadota
Fungal	LK496	0.6	5	Staphylococcus	Bacillota
Fungal	LK497	0.2	5	Staphylococcus	Bacillota
Fungal	LK500	1.2	5	Klebsiella	Pseudomonadota
Fungal	LK501	1.6	5	Klebsiella	Pseudomonadota
Fungal	LK503	0.6	5	Staphylococcus	Bacillota
Fungal	LK504	0.0	5	Staphylococcus	Bacillota
Fungal	LK507	0.0	5	Staphylococcus	Bacillota
Fungal	LK515	0.0	5	Staphylococcus	Bacillota
Fungal	LK516	0.2	5	Staphylococcus	Bacillota
Fungal	LK518	0.8	5	Nesterenkonia	Actinomycetota
Fungal	LK519	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK522	0.0	5	Dermabacter	Actinomycetota
Fungal	LK523	0.2	5	Staphylococcus	Bacillota
Fungal	LK524	0.8	5	Staphylococcus	Bacillota
Fungal	LK525	1.4	5	Klebsiella	Pseudomonadota
Fungal	LK526	0.8	5	Klebsiella	Pseudomonadota
Fungal	LK527	0.2	5	Klebsiella	Pseudomonadota
Fungal	LK528	0.0	5	Staphylococcus	Bacillota
Fungal	LK529	0.0	5	Staphylococcus	Bacillota
Fungal	LK530	0.0	5	Staphylococcus	Bacillota
Fungal	LK531	0.4	5	Staphylococcus	Bacillota
Fungal	LK533	0.0	5	Staphylococcus	Bacillota
Fungal	LK535	0.0	5	Staphylococcus	Bacillota
Fungal	LK536	0.0	5	Niallia	Bacillota
Fungal	LK538	1.2	5	Janibacter	Actinomycetota
Fungal	LK541	0.2	5	Micrococcus	Actinomycetota
Fungal	LK542	0.0	5	Micrococcus	Actinomycetota
Fungal	LK543	0.0	5	Staphylococcus	Bacillota
Fungal	LK544	0.4	5	Staphylococcus	Bacillota
Fungal	LK547	0.4	5	Staphylococcus	Bacillota
Fungal	LK548	0.0	5	Staphylococcus	Bacillota
Fungal	LK549	0.6	5	Staphylococcus	Bacillota
Fungal	LK550	0.0	5	Staphylococcus	Bacillota
Fungal	LK551	0.4	5	Staphylococcus	Bacillota
Fungal	LK552	0.0	5	Micrococcus	Actinomycetota
Fungal	LK553	0.4	5	Micrococcus	Actinomycetota
Fungal	LK555	0.6	5	Staphylococcus	Bacillota
Fungal	LK556	0.0	5	Staphylococcus	Bacillota
Fungal	LK557	0.0	5	Dermabacter	Actinomycetota
Fungal	LK560	0.0	5	Staphylococcus	Bacillota
Fungal	LK561	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK567	0.0	5	Micrococcus	Actinomycetota
Fungal	LK569	0.0	5	Micrococcus	Actinomycetota
Fungal	LK570	0.4	5	Raoultella	Pseudomonadota
Fungal	LK571	0.2	5	Staphylococcus	Bacillota
Fungal	LK572	1.2	5	Kocuria	Actinomycetota
Fungal	LK574	0.0	5	Staphylococcus	Bacillota
Fungal	LK579	0.0	5	Kocuria	Actinomycetota
Fungal	LK580	0.0	5	Staphylococcus	Bacillota
Fungal	LK581	0.0	5	Micrococcus	Actinomycetota
Fungal	LK583	1.6	5	Klebsiella	Pseudomonadota
Fungal	LK585	1.2	5	Bacillus	Bacillota
Fungal	LK586	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK587	0.2	5	Micrococcus	Actinomycetota
Fungal	LK588	0.2	5	Staphylococcus	Bacillota
Fungal	LK590	0.4	5	Staphylococcus	Bacillota
Fungal	LK591	0.4	5	Enterobacter	Pseudomonadota
Fungal	LK593	2.0	5	Staphylococcus	Bacillota
Fungal	LK594	0.0	5	Staphylococcus	Bacillota
Fungal	LK595	0.0	5	Staphylococcus	Bacillota
Fungal	LK596	0.4	5	Staphylococcus	Bacillota
Fungal	LK597	0.4	5	Bacillus	Bacillota
Fungal	LK600	0.0	5	Staphylococcus	Bacillota
Fungal	LK601	0.0	5	Staphylococcus	Bacillota
Fungal	LK602	0.6	5	Staphylococcus	Bacillota
Fungal	LK603	0.2	5	Bacillus	Bacillota
Fungal	LK605	0.0	5	Staphylococcus	Bacillota
Fungal	LK606	0.0	5	Staphylococcus	Bacillota
Fungal	LK615	0.2	5	Staphylococcus	Bacillota
Fungal	LK616	0.0	5	Staphylococcus	Bacillota
Fungal	LK617	0.0	5	Helcococcus	Bacillota
Fungal	LK619	0.8	5	Klebsiella	Pseudomonadota
Fungal	LK620	0.4	5	Staphylococcus	Bacillota
Fungal	LK622	0.4	5	Micrococcus	Actinomycetota
Fungal	LK623	0.6	5	Staphylococcus	Bacillota
Fungal	LK625	0.4	5	Staphylococcus	Bacillota
Fungal	LK626	0.0	5	Staphylococcus	Bacillota
Fungal	LK630	0.0	5	Brachybacterium	Actinomycetota
Fungal	LK635	0.0	5	Staphylococcus	Bacillota
Fungal	LK636	0.0	5	Staphylococcus	Bacillota
Fungal	LK637	0.0	5	Staphylococcus	Bacillota
Fungal	LK639	0.0	5	Dietzia	Actinomycetota
Fungal	LK657	1.4	5	Staphylococcus	Bacillota
Fungal	LK659	0.4	5	Staphylococcus	Bacillota
Fungal	LK660	0.0	5	Bacillus	Bacillota
Fungal	LK661	0.4	5	Micrococcus	Actinomycetota
Fungal	LK662	0.8	5	Lysinibacillus	Bacillota
Fungal	LK664	0.0	5	Lysinibacillus	Bacillota
Fungal	LK665	0.4	5	Staphylococcus	Bacillota
Fungal	LK666	0.4	5	Lysinibacillus	Bacillota
Fungal	LK668	1.8	5	Lysinibacillus	Bacillota
Fungal	LK669	0.4	5	Lysinibacillus	Bacillota
Fungal	LK670	0.4	5	Klebsiella	Pseudomonadota
Fungal	LK672	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK673	0.6	5	Staphylococcus	Bacillota
Fungal	LK674	1.8	5	Staphylococcus	Bacillota
Fungal	LK675	1.8	5	Lysinibacillus	Bacillota
Fungal	LK677	0.0	5	Staphylococcus	Bacillota
Fungal	LK679	1.2	5	Janibacter	Actinomycetota
Fungal	LK681	1.6	5	Bacillus	Bacillota
Fungal	LK683	0.6	5	Micrococcus	Actinomycetota
Fungal	LK684	0.4	5	Staphylococcus	Bacillota
Fungal	LK685	0.6	5	Staphylococcus	Bacillota
Fungal	LK686	1.0	5	Staphylococcus	Bacillota
Fungal	LK687	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK688	0.4	5	Staphylococcus	Bacillota
Fungal	LK690	0.4	5	Staphylococcus	Bacillota
Fungal	LK691	0.0	5	Staphylococcus	Bacillota
Fungal	LK692	1.8	5	Bacillus	Bacillota
Fungal	LK693	0.4	5	Staphylococcus	Bacillota
Fungal	LK696	2.0	5	Bacillus	Bacillota
Fungal	LK697	0.0	5	Micrococcus	Actinomycetota
Fungal	LK698	1.2	5	Kocuria	Actinomycetota
Fungal	LK704	1.6	5	Citrobacter	Pseudomonadota
Fungal	LK705	1.2	5	Micrococcus	Actinomycetota
Fungal	LK712	1.2	5	Niallia	Bacillota
Fungal	LK719	1.4	5	Micrococcus	Actinomycetota
Fungal	LK722	0.4	5	Bacillus	Bacillota
Fungal	LK724	0.0	5	Lysinibacillus	Bacillota
Fungal	LK820	0.6	5	Corynebacterium	Actinomycetota
Fungal	LK821	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK822	1.6	5	Citricoccus	Actinomycetota
Fungal	LK823	0.0	5	Dietzia	Actinomycetota
Fungal	LK826	0.4	5	Dietzia	Actinomycetota
Fungal	LK827	0.2	5	Corynebacterium	Actinomycetota
Fungal	LK832	1.6	5	Micrococcus	Actinomycetota
Fungal	LK834	1.0	5	Staphylococcus	Bacillota
Fungal	LK835	1.8	5	Staphylococcus	Bacillota
Fungal	LK836	0.8	5	Dermacoccus	Actinomycetota
Fungal	LK837	1.6	5	Staphylococcus	Bacillota
Fungal	LK838	0.6	5	Brevibacterium	Actinomycetota
Fungal	LK843	1.0	5	Kocuria	Actinomycetota
Fungal	LK844	0.0	5	Dietzia	Actinomycetota
Fungal	LK845	1.2	5	Dietzia	Actinomycetota
Fungal	LK847	1.4	5	Micrococcus	Actinomycetota
Fungal	LK849	0.6	5	Staphylococcus	Bacillota
Fungal	LK853	0.0	5	Staphylococcus	Bacillota
Fungal	LK854	0.0	5	Kocuria	Actinomycetota
Fungal	LK855	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK856	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK857	1.2	5	Staphylococcus	Bacillota
Fungal	LK858	1.6	5	Klebsiella	Pseudomonadota
Fungal	LK860	0.4	5	Rhodocococcus	Actinomycetota
Fungal	LK861	0.0	5	Staphylococcus	Bacillota
Fungal	LK863	0.4	5	Micrococcus	Actinomycetota
Fungal	LK864	1.4	5	Bacillus	Bacillota
Fungal	LK866	0.6	5	Kocuria	Actinomycetota
Fungal	LK869	0.6	5	Klebsiella	Pseudomonadota
Fungal	LK870	1.8	5	Brevibacterium	Actinomycetota
Fungal	LK871	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK872	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK873	0.0	5	Micrococcus	Actinomycetota
Fungal	LK874	0.6	5	Micrococcus	Actinomycetota
Fungal	LK875	1.2	5	Sphingobacterium	Bacteroidota
Fungal	LK876	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK877	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK892	1.2	5	Micrococcus	Actinomycetota
Fungal	LK903	0.4	5	Micrococcus	Actinomycetota
Fungal	LK911	0.0	5	Micrococcus	Actinomycetota
Fungal	LK912	0.0	5	Citricoccus	Actinomycetota
Fungal	LK931	0.2	5	Corynebacterium	Actinomycetota
Fungal	LK934	1.8	5	Kocuria	Actinomycetota
Fungal	LK935	0.6	5	Corynebacterium	Actinomycetota
Fungal	LK936	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK942	0.4	5	Corynebacterium	Actinomycetota
Fungal	LK945	0.0	5	Micromonospora	Actinomycetota
Fungal	LK949	0.4	5	Dietzia	Actinomycetota
Fungal	LK950	0.2	5	Corynebacterium	Actinomycetota
Fungal	LK951	0.2	5	Dietzia	Actinomycetota
Fungal	LK955	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK956	0.0	5	Corynebacterium	Actinomycetota
Fungal	LK960	1.6	5	Kocuria	Actinomycetota
Fungal	LK978	2.0	5	Brevibacterium	Actinomycetota
Fungal	LK984	0.4	5	Dietzia	Actinomycetota
Fungal	LK998	1.2	5	Micrococcus	Actinomycetota
Gram Negative	LK1000	0.0	9	Kocuria	Actinomycetota
Gram Negative	LK1002	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1003	0.2222222222222222	9	Staphylococcus	Bacillota
Gram Negative	LK1004	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1005	0.2222222222222222	9	Micrococcus	Actinomycetota
Gram Negative	LK1006	0.0	9	Dietzia	Actinomycetota
Gram Negative	LK1008	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1009	0.2222222222222222	9	Micrococcus	Actinomycetota
Gram Negative	LK1011	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1012	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1013	0.2222222222222222	9	Micrococcus	Actinomycetota
Gram Negative	LK1015	0.2222222222222222	9	Staphylococcus	Bacillota
Gram Negative	LK1017	0.1111111111111111	9	Dietzia	Actinomycetota
Gram Negative	LK1018	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1019	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1021	0.6666666666666666	9	Kocuria	Actinomycetota
Gram Negative	LK1022	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1024	0.0	9	Brachybacterium	Actinomycetota
Gram Negative	LK1026	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1027	0.6666666666666666	9	Brevibacterium	Actinomycetota
Gram Negative	LK1030	0.0	9	Corynebacterium	Actinomycetota
Gram Negative	LK1031	0.0	9	Dietzia	Actinomycetota
Gram Negative	LK1034	0.0	9	Paenibacillus	Bacillota
Gram Negative	LK1036	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1041	0.0	9	Corynebacterium	Actinomycetota
Gram Negative	LK1045	0.0	9	Brachybacterium	Actinomycetota
Gram Negative	LK1046	0.0	9	Dietzia	Actinomycetota
Gram Negative	LK1049	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1053	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1054	0.0	9	Gordonia	Actinomycetota
Gram Negative	LK1055	0.1111111111111111	9	Kocuria	Actinomycetota
Gram Negative	LK1056	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1059	0.0	9	Corynebacterium	Actinomycetota
Gram Negative	LK1060	0.0	9	Kocuria	Actinomycetota
Gram Negative	LK1063	0.1111111111111111	9	Dietzia	Actinomycetota
Gram Negative	LK1072	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1073	0.4444444444444444	9	Micrococcus	Actinomycetota
Gram Negative	LK1075	0.0	9	Micrococcus	Actinomycetota
Gram Negative	LK1076	0.1111111111111111	9	Micrococcus	Actinomycetota
Gram Negative	LK1077	0.0	9	Dermabacter	Actinomycetota
Gram Negative	LK1080	0.0	9	Dermabacter	Actinomycetota
Gram Negative	LK1081	0.0	9	Rothia	Actinomycetota
Gram Negative	LK1082	0.0	9	Dermabacter	Actinomycetota
Gram Negative	LK1083	0.1111111111111111	9	Rothia	Actinomycetota
Gram Negative	LK1084	0.1111111111111111	9	Corynebacterium	Actinomycetota
Gram Negative	LK1085	0.0	9	Brachybacterium	Actinomycetota
Gram Negative	LK1086	0.2222222222222222	9	Rothia	Actinomycetota
Gram Negative	LK1090	0.6666666666666666	9	Micrococcus	Actinomycetota
Gram Negative	LK1091	0.2222222222222222	9	Micrococcus	Actinomycetota
Gram Negative	LK1092	0.0	9	Dietzia	Actinomycetota
Gram Negative	LK1093	0.4444444444444444	9	Kocuria	Actinomycetota
Gram Negative	LK1094	0.3333333333333333	9	Brevibacterium	Actinomycetota
Gram Negative	LK1095	0.2222222222222222	9	Staphylococcus	Bacillota
Gram Negative	LK1096	0.0	9	Staphylococcus	Bacillota
