Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-17_S21	S003	Sebaceous_Al	Micrococcus	33827
LKMB002-1-17_S21	S003	Sebaceous_Al	Staphylococcus	122409
LKMB002-1-17_S21	S003	Sebaceous_Al	Other	2452803
LKMB002-1-20_S24	S003	Sebaceous_Ba	Cutibacterium	333726
LKMB002-1-20_S24	S003	Sebaceous_Ba	Corynebacterium	77401
LKMB002-1-20_S24	S003	Sebaceous_Ba	Micrococcus	404179
LKMB002-1-20_S24	S003	Sebaceous_Ba	Staphylococcus	27621
LKMB002-1-20_S24	S003	Sebaceous_Ba	Other	786911
LKMB002-1-94_S93	S012	Sebaceous_Ba	Cutibacterium	19413828
LKMB002-1-94_S93	S012	Sebaceous_Ba	Corynebacterium	510768
LKMB002-1-94_S93	S012	Sebaceous_Ba	Micrococcus	1019784
LKMB002-1-94_S93	S012	Sebaceous_Ba	Staphylococcus	79736
LKMB002-1-94_S93	S012	Sebaceous_Ba	Other	586958
LKMB002-2-013_S104	S015	Moist_Na	Cutibacterium	57543
LKMB002-2-013_S104	S015	Moist_Na	Corynebacterium	26407
LKMB002-2-013_S104	S015	Moist_Na	Micrococcus	634
LKMB002-2-013_S104	S015	Moist_Na	Staphylococcus	9033
LKMB002-2-013_S104	S015	Moist_Na	Other	110044
LKMB002-1-35_S39	S005	Moist_Na	Cutibacterium	25311
LKMB002-1-35_S39	S005	Moist_Na	Corynebacterium	10285
LKMB002-1-35_S39	S005	Moist_Na	Micrococcus	726
LKMB002-1-35_S39	S005	Moist_Na	Staphylococcus	19199
LKMB002-1-35_S39	S005	Moist_Na	Other	25680
LKMB002-1-56_S55	S006	Moist_Um	Cutibacterium	259169
LKMB002-1-56_S55	S006	Moist_Um	Corynebacterium	8524898
LKMB002-1-56_S55	S006	Moist_Um	Micrococcus	1860
LKMB002-1-56_S55	S006	Moist_Um	Staphylococcus	771809
LKMB002-1-56_S55	S006	Moist_Um	Other	633220
LKMB002-2-016_S107	S015	Rarely_Moist_Vf	Cutibacterium	651597
LKMB002-2-016_S107	S015	Rarely_Moist_Vf	Corynebacterium	305032
LKMB002-2-016_S107	S015	Rarely_Moist_Vf	Micrococcus	155017
LKMB002-2-016_S107	S015	Rarely_Moist_Vf	Staphylococcus	68750
LKMB002-2-016_S107	S015	Rarely_Moist_Vf	Other	744015
LKMB002-1-79_S78	S010	Rarely_Moist_Vf	Cutibacterium	50600
LKMB002-1-79_S78	S010	Rarely_Moist_Vf	Corynebacterium	23422
LKMB002-1-79_S78	S010	Rarely_Moist_Vf	Micrococcus	12004
LKMB002-1-79_S78	S010	Rarely_Moist_Vf	Staphylococcus	46543
LKMB002-1-79_S78	S010	Rarely_Moist_Vf	Other	493357
LKMB002-1-27_S31	S004	Moist_Na	Cutibacterium	60389
LKMB002-1-27_S31	S004	Moist_Na	Corynebacterium	38261
LKMB002-1-27_S31	S004	Moist_Na	Micrococcus	447
LKMB002-1-27_S31	S004	Moist_Na	Staphylococcus	6811
LKMB002-1-27_S31	S004	Moist_Na	Other	43567
LKMB002-1-14_S18	S002	Rarely_Moist_Af	Cutibacterium	5562083
LKMB002-1-14_S18	S002	Rarely_Moist_Af	Corynebacterium	395119
LKMB002-1-14_S18	S002	Rarely_Moist_Af	Micrococcus	542035
LKMB002-1-14_S18	S002	Rarely_Moist_Af	Staphylococcus	273753
LKMB002-1-14_S18	S002	Rarely_Moist_Af	Other	1655359
LKMB002-1-91_S90	S012	Sebaceous_Al	Cutibacterium	10500297
LKMB002-1-91_S90	S012	Sebaceous_Al	Corynebacterium	99129
LKMB002-1-91_S90	S012	Sebaceous_Al	Micrococcus	64734
LKMB002-1-91_S90	S012	Sebaceous_Al	Staphylococcus	190747
LKMB002-1-91_S90	S012	Sebaceous_Al	Other	1278804
LKMB002-2-065_S172	S020	Rarely_Moist_Af	Cutibacterium	3229437
LKMB002-2-065_S172	S020	Rarely_Moist_Af	Corynebacterium	63342
LKMB002-2-065_S172	S020	Rarely_Moist_Af	Micrococcus	344813
LKMB002-2-065_S172	S020	Rarely_Moist_Af	Staphylococcus	138222
LKMB002-2-065_S172	S020	Rarely_Moist_Af	Other	1113962
LKMB002-1-28_S32	S004	Sebaceous_Oc	Cutibacterium	7476211
LKMB002-1-28_S32	S004	Sebaceous_Oc	Corynebacterium	66147
LKMB002-1-28_S32	S004	Sebaceous_Oc	Micrococcus	8786
LKMB002-1-28_S32	S004	Sebaceous_Oc	Staphylococcus	1685793
LKMB002-1-28_S32	S004	Sebaceous_Oc	Other	765481
LKMB002-1-69_S68	S011	Sebaceous_Oc	Cutibacterium	173932
LKMB002-1-69_S68	S011	Sebaceous_Oc	Corynebacterium	21178
LKMB002-1-69_S68	S011	Sebaceous_Oc	Micrococcus	64577
LKMB002-1-69_S68	S011	Sebaceous_Oc	Staphylococcus	158130
LKMB002-1-69_S68	S011	Sebaceous_Oc	Other	1057984
LKMB002-2-091_S198	S023	Moist_Um	Cutibacterium	1676475
LKMB002-2-091_S198	S023	Moist_Um	Corynebacterium	179216
LKMB002-2-091_S198	S023	Moist_Um	Micrococcus	31863
LKMB002-2-091_S198	S023	Moist_Um	Staphylococcus	110278
LKMB002-2-091_S198	S023	Moist_Um	Other	813648
LKMB002-1-48_S52	S007	Moist_Um	Cutibacterium	508975
LKMB002-1-48_S52	S007	Moist_Um	Corynebacterium	4864784
LKMB002-1-48_S52	S007	Moist_Um	Micrococcus	6005
