metagenome	body_site	body_site_type	database	value
LKMN002-3-84-S283	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	89.60
LKMN002-3-84-S283	Al	Sebaceous	6. EPIC + SMGC	93.12
LKMN002-3-84-S283	Al	Sebaceous	1. EPIC	24.34
LKMN002-3-84-S283	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	89.34
LKMB002-1-04-S8	Ba	Sebaceous	2. SBCC	23.92
LKMB002-1-04-S8	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	90.55
LKMB002-1-04-S8	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	91.38
LKMB002-1-04-S8	Ba	Sebaceous	6. EPIC + SMGC	96.04
LKMB002-1-04-S8	Ba	Sebaceous	1. EPIC	24.87
LKMB002-1-04-S8	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	91.02
LKMB002-1-42-S46	Al	Sebaceous	2. SBCC	23.28
LKMB002-1-42-S46	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	77.24
LKMB002-1-42-S46	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	77.93
LKMB002-1-42-S46	Al	Sebaceous	6. EPIC + SMGC	83.69
LKMB002-1-42-S46	Al	Sebaceous	1. EPIC	23.96
LKMB002-1-42-S46	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	77.53
LKMN002-3-36-S239	Af	Rarely Moist	2. SBCC	22.83
LKMN002-3-36-S239	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	47.17
LKMN002-3-36-S239	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	51.81
LKMN002-3-36-S239	Af	Rarely Moist	6. EPIC + SMGC	60.57
LKMN002-3-36-S239	Af	Rarely Moist	1. EPIC	25.80
LKMN002-3-36-S239	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	49.97
LKMN002-3-05-S208	Tw	Moist	2. SBCC	75.50
LKMN002-3-05-S208	Tw	Moist	4. SBCC + C. acnes ATCC 6919	75.77
LKMN002-3-05-S208	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	79.22
LKMN002-3-05-S208	Tw	Moist	6. EPIC + SMGC	92.27
LKMN002-3-05-S208	Tw	Moist	1. EPIC	66.90
LKMN002-3-05-S208	Tw	Moist	3. EPIC + C. acnes ATCC 6919	67.17
LKMB002-1-41-S45	Tw	Moist	2. SBCC	86.43
LKMB002-1-41-S45	Tw	Moist	4. SBCC + C. acnes ATCC 6919	86.50
LKMB002-1-41-S45	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	94.01
LKMB002-1-41-S45	Tw	Moist	6. EPIC + SMGC	97.08
LKMB002-1-41-S45	Tw	Moist	1. EPIC	82.54
LKMB002-1-41-S45	Tw	Moist	3. EPIC + C. acnes ATCC 6919	82.61
LKMB002-1-76-S75	Na	Moist	2. SBCC	56.30
LKMB002-1-76-S75	Na	Moist	4. SBCC + C. acnes ATCC 6919	63.29
LKMB002-1-76-S75	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	67.95
LKMB002-1-76-S75	Na	Moist	6. EPIC + SMGC	79.26
LKMB002-1-76-S75	Na	Moist	1. EPIC	59.79
LKMB002-1-76-S75	Na	Moist	3. EPIC + C. acnes ATCC 6919	66.73
LKMN002-3-28-S231	Af	Rarely Moist	2. SBCC	22.87
LKMN002-3-28-S231	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	38.42
LKMN002-3-28-S231	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	45.14
LKMN002-3-28-S231	Af	Rarely Moist	6. EPIC + SMGC	64.80
LKMN002-3-28-S231	Af	Rarely Moist	1. EPIC	26.41
LKMN002-3-28-S231	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	41.84
LKMN002-3-54-S253	Af	Rarely Moist	2. SBCC	24.41
LKMN002-3-54-S253	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	30.83
LKMN002-3-54-S253	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	37.52
LKMN002-3-54-S253	Af	Rarely Moist	6. EPIC + SMGC	53.30
LKMN002-3-54-S253	Af	Rarely Moist	1. EPIC	28.12
LKMN002-3-54-S253	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	34.48
