Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK683	p3-SID678	NA	KHID61	Healthy Skin	Back
LK1238	p3-SID2502	NA	KHID120	Healthy Skin	Alar crease
LK1258	p3-SID1720	NA	KHID147	Healthy Skin	Back
LK1262	p3-SID1739	NA	KHID138	Healthy Skin	Occiput
LK1333	p3-SID1023	NA	KHID115	Healthy Skin	Back
LK1356	p3-SID1117	NA	KHID107	Healthy Skin	Back
LK1004	p3-SID1453	NA	KHID141	Healthy Skin	Antecubital fossa
LK1005	p3-SID1398	NA	KHID128	Healthy Skin	Alar crease
LK1011	p3-SID1419	NA	KHID127	Healthy Skin	Toe web space
LK1013	p3-SID1386	NA	KHID143	Healthy Skin	Toe web space
LK1075	p3-SID1857	NA	KHID134	Healthy Skin	Umbilicus
LK1076	p3-SID1638	NA	KHID136	Healthy Skin	Alar crease
LK1103	p3-SID1470	NA	KHID124	Healthy Skin	Volar forearm
LK1162	p3-SID1503	NA	KHID156	Healthy Skin	Volar forearm
LK1168	p3-SID1619	NA	KHID157	Healthy Skin	Antecubital fossa
LK1170	p3-SID1443	NA	KHID142	Healthy Skin	Umbilicus
LK1186	p3-SID1853	NA	KHID133	Healthy Skin	Antecubital fossa
LK1196	p3-SID1038	NA	KHID118	Healthy Skin	Umbilicus
LK1197	p3-SID966	NA	KHID109	Healthy Skin	Antecubital fossa
LK1216	p3-SID1746	NA	KHID139	Healthy Skin	Back
LK1220	p3-SID1768	NA	KHID145	Healthy Skin	Nares
LK1299	p3-SID1761	NA	KHID158	Healthy Skin	Umbilicus
LK1355	p3-SID1116	NA	KHID107	Healthy Skin	Back
LK425	p3-SID881	NA	KHID48	Healthy Skin	Umbilicus
LK581	p3-SID698	NA	KHID26	Healthy Skin	Alar crease
LK832	p3-SID1332	NA	KHID81	Healthy Skin	Alar crease
LK847	p3-SID1219	NA	KHID86	Healthy Skin	Antecubital fossa
LK863	p3-SID1214	NA	KHID104	Healthy Skin	Alar crease
LK873	p3-SID1141	NA	KHID92	Healthy Skin	Back
LK874	p3-SID1228	NA	KHID97	Healthy Skin	Nares
LK892	p3-SID1235	NA	KHID111	Healthy Skin	Toe web space
LK903	p3-SID1311	NA	KHID108	Healthy Skin	Volar forearm
LK911	p3-SID1133	NA	KHID106	Healthy Skin	Occiput
LK998	p3-SID1570	NA	KHID122	Healthy Skin	Occiput
LK399	p3-SID890	NA	KHID72	Healthy Skin	Umbilicus
LK404	p3-SID895	NA	KHID64	Healthy Skin	Umbilicus
LK406	p3-SID897	NA	KHID65	Healthy Skin	Toe web space
LK416	p3-SID857	NA	KHID36	Healthy Skin	Occiput
LK418	p3-SID740	NA	KHID33	Healthy Skin	Toe web space
LK420	p3-SID632	NA	KHID52	Healthy Skin	Occiput
LK422	p3-SID629	NA	KHID70	Healthy Skin	Volar forearm
LK423	p3-SID683	NA	KHID63	Healthy Skin	Antecubital fossa
LK431	p3-SID771	NA	KHID77	Healthy Skin	Back
LK433	p3-SID893	NA	KHID68	Healthy Skin	Occiput
LK437	p3-SID749	NA	KHID33	Healthy Skin	Toe web space
LK440	p3-SID811	NA	KHID77	Healthy Skin	Back
LK446	p3-SID892	NA	KHID68	Healthy Skin	Occiput
LK448	p3-SID895	NA	KHID64	Healthy Skin	Umbilicus
LK451	p3-SID897	NA	KHID65	Healthy Skin	Toe web space
LK453	p3-SID677	NA	KHID61	Healthy Skin	Back
LK462	p3-SID622	NA	KHID62	Healthy Skin	Volar forearm
LK463	p3-SID616	NA	KHID54	Healthy Skin	Volar forearm
LK468	p3-SID658	NA	KHID53	Healthy Skin	Back
LK472	p3-SID657	NA	KHID53	Healthy Skin	Back
LK474	p3-SID836	NA	KHID78	Healthy Skin	Volar forearm
LK475	p3-SID837	NA	KHID78	Healthy Skin	Volar forearm
LK476	p3-SID838	NA	KHID78	Healthy Skin	Volar forearm
LK477	p3-SID865	NA	KHID71	Healthy Skin	Antecubital fossa
LK481	p3-SID680	NA	KHID61	Healthy Skin	Back
LK482	p3-SID682	NA	KHID63	Healthy Skin	Antecubital fossa
LK484	p3-SID846	NA	KHID79	Healthy Skin	Antecubital fossa
LK487	p3-SID628	NA	KHID70	Healthy Skin	Volar forearm
LK491	p3-SID617	NA	KHID54	Healthy Skin	Volar forearm
LK493	p3-SID676	NA	KHID63	Healthy Skin	Antecubital fossa
LK498	p3-SID833	NA	KHID76	Healthy Skin	Occiput
LK499	p3-SID899	NA	KHID65	Healthy Skin	Toe web space
LK505	p3-SID638	NA	KHID52	Healthy Skin	Occiput
LK506	p3-SID637	NA	KHID52	Healthy Skin	Occiput
LK509	p3-SID615	NA	KHID54	Healthy Skin	Volar forearm
LK510	p3-SID610	NA	KHID54	Healthy Skin	Volar forearm
LK511	p3-SID611	NA	KHID54	Healthy Skin	Volar forearm
LK513	p3-SID609	NA	KHID62	Healthy Skin	Volar forearm
LK514	p3-SID729	NA	KHID30	Healthy Skin	Volar forearm
LK520	p3-SID775	NA	KHID77	Healthy Skin	Back
LK521	p3-SID827	NA	KHID76	Healthy Skin	Occiput
LK532	p3-SID608	NA	KHID62	Healthy Skin	Volar forearm
LK534	p3-SID670	NA	KHID60	Healthy Skin	Occiput
LK545	p3-SID660	NA	KHID53	Healthy Skin	Back
LK546	p3-SID659	NA	KHID53	Healthy Skin	Back
LK558	p3-SID674	NA	KHID63	Healthy Skin	Antecubital fossa
LK559	p3-SID673	NA	KHID63	Healthy Skin	Antecubital fossa
LK562	p3-SID871	NA	KHID70	Healthy Skin	Volar forearm
LK563	p3-SID777	NA	KHID77	Healthy Skin	Back
LK564	p3-SID710	NA	KHID29	Healthy Skin	Back
LK565	p3-SID918	NA	KHID78	Healthy Skin	Volar forearm
LK568	p3-SID650	NA	KHID53	Healthy Skin	Back
LK573	p3-SID911	NA	KHID71	Healthy Skin	Antecubital fossa
LK575	p3-SID823	NA	KHID76	Healthy Skin	Occiput
LK576	p3-SID916	NA	KHID72	Healthy Skin	Umbilicus
LK577	p3-SID633	NA	KHID52	Healthy Skin	Occiput
LK582	p3-SID824	NA	KHID76	Healthy Skin	Occiput
LK584	p3-SID711	NA	KHID29	Healthy Skin	Back
LK589	p3-SID585	NA	KHID55	Healthy Skin	Antecubital fossa
LK621	p3-SID667	NA	KHID60	Healthy Skin	Occiput
LK638	p3-SID843	NA	KHID78	Healthy Skin	Volar forearm
LK658	p3-SID706	NA	KHID29	Healthy Skin	Back
LK667	p3-SID808	NA	KHID74	Healthy Skin	Alar crease
LK678	p3-SID802	NA	KHID74	Healthy Skin	Alar crease
LK680	p3-SID693	NA	KHID29	Healthy Skin	Back
LK682	p3-SID692	NA	KHID71	Healthy Skin	Antecubital fossa
LK689	p3-SID835	NA	KHID76	Healthy Skin	Occiput
LK695	p3-SID624	NA	KHID62	Healthy Skin	Volar forearm
LK699	p3-SID753	NA	KHID32	Healthy Skin	Umbilicus
LK701	p3-SID849	NA	KHID79	Healthy Skin	Antecubital fossa
LK710	p3-SID828	NA	KHID76	Healthy Skin	Occiput
LK1212	p3-SID1742	NA	KHID139	Healthy Skin	Back
LK1218	p3-SID1478	NA	KHID123	Healthy Skin	Back
LK1221	p3-SID1780	NA	KHID148	Healthy Skin	Volar forearm
LK1229	p3-SID1801	NA	KHID149	Healthy Skin	Antecubital fossa
LK1230	p3-SID1804	NA	KHID149	Healthy Skin	Antecubital fossa
LK1234	p3-SID1833	NA	KHID138	Healthy Skin	Occiput
LK1235	p3-SID1834	NA	KHID138	Healthy Skin	Occiput
LK1240	p3-SID1697	NA	KHID146	Healthy Skin	Occiput
LK1241	p3-SID1779	NA	KHID148	Healthy Skin	Volar forearm
LK1248	p3-SID1712	NA	KHID147	Healthy Skin	Back
LK1260	p3-SID1736	NA	KHID138	Healthy Skin	Occiput
LK1261	p3-SID1737	NA	KHID138	Healthy Skin	Occiput
LK1276	p3-SID1784	NA	KHID148	Healthy Skin	Volar forearm
LK1280	p3-SID1803	NA	KHID149	Healthy Skin	Antecubital fossa
LK1291	p3-SID1057	NA	KHID119	Healthy Skin	Toe web space
LK1292	p3-SID1013	NA	KHID115	Healthy Skin	Back
LK1294	p3-SID1073	NA	KHID84	Healthy Skin	Back
LK1303	p3-SID1443	NA	KHID142	Healthy Skin	Umbilicus
LK1304	p3-SID984	NA	KHID85	Healthy Skin	Volar forearm
LK1310	p3-SID1671	NA	KHID135	Healthy Skin	Toe web space
LK1316	p3-SID1168	NA	KHID86	Healthy Skin	Antecubital fossa
LK1317	p3-SID1160	NA	KHID84	Healthy Skin	Back
LK1318	p3-SID1158	NA	KHID84	Healthy Skin	Back
LK1320	p3-SID1009	NA	KHID115	Healthy Skin	Back
LK1322	p3-SID1003	NA	KHID116	Healthy Skin	Volar forearm
LK1323	p3-SID1012	NA	KHID115	Healthy Skin	Back
LK1325	p3-SID977	NA	KHID85	Healthy Skin	Volar forearm
LK1370	p3-SID686	NA	KHID61	Healthy Skin	Back
LK905	p3-SID889	NA	KHID72	Healthy Skin	Umbilicus
LK1001	p3-SID1397	NA	KHID128	Healthy Skin	Alar crease
LK1010	p3-SID1336	NA	KHID125	Healthy Skin	Antecubital fossa
LK1016	p3-SID1403	NA	KHID125	Healthy Skin	Antecubital fossa
LK1020	p3-SID1404	NA	KHID125	Healthy Skin	Antecubital fossa
LK1023	p3-SID1368	NA	KHID144	Healthy Skin	Alar crease
LK1028	p3-SID1360	NA	KHID144	Healthy Skin	Alar crease
LK1037	p3-SID1847	NA	KHID133	Healthy Skin	Antecubital fossa
LK1038	p3-SID1890	NA	KHID132	Healthy Skin	Volar forearm
LK1039	p3-SID770	NA	KHID77	Healthy Skin	Back
LK1052	p3-SID1842	NA	KHID132	Healthy Skin	Volar forearm
LK1057	p3-SID1840	NA	KHID132	Healthy Skin	Volar forearm
LK1058	p3-SID1896	NA	KHID147	Healthy Skin	Back
LK1061	p3-SID1849	NA	KHID133	Healthy Skin	Antecubital fossa
LK1062	p3-SID1845	NA	KHID133	Healthy Skin	Antecubital fossa
LK1065	p3-SID1892	NA	KHID132	Healthy Skin	Volar forearm
LK1067	p3-SID1874	NA	KHID131	Healthy Skin	Back
LK1068	p3-SID1883	NA	KHID131	Healthy Skin	Back
LK1069	p3-SID1846	NA	KHID133	Healthy Skin	Antecubital fossa
LK1074	p3-SID1848	NA	KHID133	Healthy Skin	Antecubital fossa
LK1088	p3-SID1579	NA	KHID130	Healthy Skin	Occiput
LK1125	p3-SID1461	NA	KHID124	Healthy Skin	Volar forearm
LK1141	p3-SID1469	NA	KHID124	Healthy Skin	Volar forearm
LK1161	p3-SID1505	NA	KHID156	Healthy Skin	Volar forearm
LK1165	p3-SID1467	NA	KHID124	Healthy Skin	Volar forearm
LK1166	p3-SID1468	NA	KHID124	Healthy Skin	Volar forearm
LK1171	p3-SID1464	NA	KHID124	Healthy Skin	Volar forearm
LK933	p3-SID868	NA	KHID71	Healthy Skin	Antecubital fossa
LK939	p3-SID890	NA	KHID72	Healthy Skin	Umbilicus
LK940	p3-SID1256	NA	KHID103	Healthy Skin	Toe web space
LK943	p3-SID1305	NA	KHID108	Healthy Skin	Volar forearm
LK957	p3-SID1904	NA	KHID147	Healthy Skin	Back
LK958	p3-SID1411	NA	KHID125	Healthy Skin	Antecubital fossa
LK961	p3-SID1413	NA	KHID127	Healthy Skin	Toe web space
LK962	p3-SID1897	NA	KHID147	Healthy Skin	Back
LK964	p3-SID1901	NA	KHID147	Healthy Skin	Back
LK966	p3-SID1913	NA	KHID148	Healthy Skin	Volar forearm
LK967	p3-SID1357	NA	KHID144	Healthy Skin	Alar crease
LK969	p3-SID1429	NA	KHID135	Healthy Skin	Toe web space
LK971	p3-SID1893	NA	KHID132	Healthy Skin	Volar forearm
LK972	p3-SID1837	NA	KHID132	Healthy Skin	Volar forearm
LK973	p3-SID1855	NA	KHID133	Healthy Skin	Antecubital fossa
LK974	p3-SID1905	NA	KHID147	Healthy Skin	Back
LK979	p3-SID1872	NA	KHID131	Healthy Skin	Back
LK980	p3-SID1852	NA	KHID133	Healthy Skin	Antecubital fossa
LK981	p3-SID1894	NA	KHID147	Healthy Skin	Back
LK982	p3-SID1352	NA	KHID144	Healthy Skin	Alar crease
LK983	p3-SID1873	NA	KHID131	Healthy Skin	Back
LK985	p3-SID1851	NA	KHID133	Healthy Skin	Antecubital fossa
LK986	p3-SID1354	NA	KHID144	Healthy Skin	Alar crease
LK988	p3-SID1908	NA	KHID148	Healthy Skin	Volar forearm
LK989	p3-SID1856	NA	KHID133	Healthy Skin	Antecubital fossa
LK990	p3-SID1410	NA	KHID125	Healthy Skin	Antecubital fossa
LK991	p3-SID1839	NA	KHID132	Healthy Skin	Volar forearm
LK993	p3-SID1871	NA	KHID131	Healthy Skin	Back
LK994	p3-SID1376	NA	KHID144	Healthy Skin	Alar crease
LK995	p3-SID1838	NA	KHID132	Healthy Skin	Volar forearm
LK996	p3-SID1851	NA	KHID133	Healthy Skin	Antecubital fossa
LK997	p3-SID1402	NA	KHID125	Healthy Skin	Antecubital fossa
LK1377	p3-SID2508	NA	KHID74	Healthy Skin	Alar crease
LK1378	p3-SID2509	NA	KHID74	Healthy Skin	Alar crease
LK1381	p3-SID2512	NA	KHID78	Healthy Skin	Volar forearm
LK1385	p3-SID2516	NA	KHID78	Healthy Skin	Volar forearm
LK1391	p3-SID2522	NA	KHID76	Healthy Skin	Occiput
LK1394	p3-SID2525	NA	KHID76	Healthy Skin	Occiput
LK1395	p3-SID2526	NA	KHID76	Healthy Skin	Occiput
LK1396	p3-SID2527	NA	KHID76	Healthy Skin	Occiput
LK1398	p3-SID2529	NA	KHID76	Healthy Skin	Occiput
LK1399	p3-SID2530	NA	KHID76	Healthy Skin	Occiput
LK1401	p3-SID2532	NA	KHID74	Healthy Skin	Alar crease
LK1029	p3-SID1405	NA	KHID125	Healthy Skin	Antecubital fossa
LK1040	p3-SID1864	NA	KHID130	Healthy Skin	Occiput
LK1042	p3-SID1841	NA	KHID132	Healthy Skin	Volar forearm
LK1043	p3-SID1909	NA	KHID148	Healthy Skin	Volar forearm
LK1044	p3-SID1862	NA	KHID130	Healthy Skin	Occiput
LK1047	p3-SID1906	NA	KHID148	Healthy Skin	Volar forearm
LK1064	p3-SID1885	NA	KHID131	Healthy Skin	Back
LK1066	p3-SID1850	NA	KHID133	Healthy Skin	Antecubital fossa
LK1089	p3-SID1580	NA	KHID130	Healthy Skin	Occiput
LK1107	p3-SID1475	NA	KHID124	Healthy Skin	Volar forearm
LK1111	p3-SID1595	NA	KHID151	Healthy Skin	Toe web space
LK1119	p3-SID1454	NA	KHID124	Healthy Skin	Volar forearm
LK1122	p3-SID1457	NA	KHID124	Healthy Skin	Volar forearm
LK1124	p3-SID1459	NA	KHID124	Healthy Skin	Volar forearm
LK1131	p3-SID1506	NA	KHID156	Healthy Skin	Volar forearm
LK1133	p3-SID1523	NA	KHID122	Healthy Skin	Occiput
LK1144	p3-SID1575	NA	KHID123	Healthy Skin	Back
LK1148	p3-SID1556	NA	KHID140	Healthy Skin	Volar forearm
LK1151	p3-SID1476	NA	KHID123	Healthy Skin	Back
LK1152	p3-SID1477	NA	KHID123	Healthy Skin	Back
LK1155	p3-SID1479	NA	KHID123	Healthy Skin	Back
LK1158	p3-SID1495	NA	KHID156	Healthy Skin	Volar forearm
LK1164	p3-SID1465	NA	KHID124	Healthy Skin	Volar forearm
LK1177	p3-SID1230	NA	KHID111	Healthy Skin	Toe web space
LK1181	p3-SID1370	NA	KHID144	Healthy Skin	Alar crease
LK1190	p3-SID1471	NA	KHID124	Healthy Skin	Volar forearm
LK1199	p3-SID1682	NA	KHID146	Healthy Skin	Occiput
LK1201	p3-SID1684	NA	KHID146	Healthy Skin	Occiput
LK1203	p3-SID1690	NA	KHID146	Healthy Skin	Occiput
LK1205	p3-SID1694	NA	KHID146	Healthy Skin	Occiput
LK1209	p3-SID1707	NA	KHID146	Healthy Skin	Occiput
