Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK1153	p3-SID1460	NA	KHID124	Healthy Skin	Volar forearm
LK1154	p3-SID1623	NA	KHID155	Healthy Skin	Back
LK1169	p3-SID1342	NA	KHID143	Healthy Skin	Toe web space
LK1175	p3-SID1449	NA	KHID141	Healthy Skin	Antecubital fossa
LK1178	p3-SID1903	NA	KHID147	Healthy Skin	Back
LK1179	p3-SID1374	NA	KHID144	Healthy Skin	Alar crease
LK1180	p3-SID1195	NA	KHID92	Healthy Skin	Back
LK1182	p3-SID1905	NA	KHID147	Healthy Skin	Back
LK1185	p3-SID1359	NA	KHID144	Healthy Skin	Alar crease
LK1187	p3-SID1225	NA	KHID117	Healthy Skin	Antecubital fossa
LK1189	p3-SID1874	NA	KHID131	Healthy Skin	Back
LK1191	p3-SID1859	NA	KHID134	Healthy Skin	Umbilicus
LK1192	p3-SID1151	NA	KHID110	Healthy Skin	Umbilicus
LK1193	p3-SID1868	NA	KHID130	Healthy Skin	Occiput
LK1194	p3-SID1860	NA	KHID134	Healthy Skin	Umbilicus
LK1195	p3-SID1858	NA	KHID134	Healthy Skin	Umbilicus
LK1200	p3-SID1683	NA	KHID146	Healthy Skin	Occiput
LK1222	p3-SID1782	NA	KHID148	Healthy Skin	Volar forearm
LK1223	p3-SID1785	NA	KHID148	Healthy Skin	Volar forearm
LK1242	p3-SID1672	NA	KHID135	Healthy Skin	Toe web space
LK1243	p3-SID1676	NA	KHID136	Healthy Skin	Alar crease
LK1251	p3-SID1725	NA	KHID157	Healthy Skin	Antecubital fossa
LK1273	p3-SID1777	NA	KHID135	Healthy Skin	Toe web space
LK1286	p3-SID1830	NA	KHID138	Healthy Skin	Occiput
LK1293	p3-SID1055	NA	KHID119	Healthy Skin	Toe web space
LK1295	p3-SID1794	NA	KHID149	Healthy Skin	Antecubital fossa
LK1296	p3-SID1702	NA	KHID146	Healthy Skin	Occiput
LK1297	p3-SID1814	NA	KHID137	Healthy Skin	Nares
LK1298	p3-SID1816	NA	KHID137	Healthy Skin	Nares
LK1300	p3-SID978	NA	KHID85	Healthy Skin	Volar forearm
LK1305	p3-SID981	NA	KHID85	Healthy Skin	Volar forearm
LK1308	p3-SID1181	NA	KHID91	Healthy Skin	Occiput
LK1309	p3-SID1698	NA	KHID146	Healthy Skin	Occiput
LK1313	p3-SID1771	NA	KHID145	Healthy Skin	Nares
LK1314	p3-SID983	NA	KHID85	Healthy Skin	Volar forearm
LK1315	p3-SID965	NA	KHID109	Healthy Skin	Antecubital fossa
LK1324	p3-SID976	NA	KHID85	Healthy Skin	Volar forearm
LK1326	p3-SID978	NA	KHID85	Healthy Skin	Volar forearm
LK1328	p3-SID1122	NA	KHID107	Healthy Skin	Back
LK1329	p3-SID1123	NA	KHID107	Healthy Skin	Back
LK1338	p3-SID992	NA	KHID93	Healthy Skin	Volar forearm
LK1339	p3-SID1182	NA	KHID87	Healthy Skin	Umbilicus
LK1344	p3-SID1179	NA	KHID91	Healthy Skin	Occiput
LK1345	p3-SID990	NA	KHID85	Healthy Skin	Volar forearm
LK1357	p3-SID1121	NA	KHID107	Healthy Skin	Back
LK1361	p3-SID1006	NA	KHID116	Healthy Skin	Volar forearm
LK1364	p3-SID1175	NA	KHID87	Healthy Skin	Umbilicus
LK1371	p3-SID585	NA	KHID55	Healthy Skin	Antecubital fossa
LK1372	p3-SID831	NA	KHID76	Healthy Skin	Occiput
LK1375	p3-SID635	NA	KHID52	Healthy Skin	Occiput
LK1376	p3-SID614	NA	KHID54	Healthy Skin	Volar forearm
LK1405	p3-SID2536	NA	KHID76	Healthy Skin	Occiput
LK424	p3-SID889	NA	KHID72	Healthy Skin	Umbilicus
LK502	p3-SID714	NA	KHID40	Healthy Skin	Umbilicus
LK539	p3-SID776	NA	KHID77	Healthy Skin	Back
LK607	p3-SID604	NA	KHID51	Healthy Skin	Nares
LK608	p3-SID819	NA	KHID79	Healthy Skin	Antecubital fossa
LK612	p3-SID778	NA	KHID77	Healthy Skin	Back
LK614	p3-SID863	NA	KHID42	Healthy Skin	Alar crease
LK618	p3-SID913	NA	KHID64	Healthy Skin	Umbilicus
LK627	p3-SID795	NA	KHID74	Healthy Skin	Alar crease
LK629	p3-SID864	NA	KHID71	Healthy Skin	Antecubital fossa
LK631	p3-SID606	NA	KHID73	Healthy Skin	Toe web space
LK632	p3-SID594	NA	KHID51	Healthy Skin	Nares
LK633	p3-SID720	NA	KHID38	Healthy Skin	Volar forearm
LK663	p3-SID735	NA	KHID40	Healthy Skin	Umbilicus
LK702	p3-SID852	NA	KHID79	Healthy Skin	Antecubital fossa
LK703	p3-SID851	NA	KHID79	Healthy Skin	Antecubital fossa
LK707	p3-SID781	NA	KHID77	Healthy Skin	Back
