dataset	genus	rel_abun	prevalence
Kraken	Bdellovibrio	5.795309531194735e-4	1
Kraken	Beggiatoa	2.5436067135365607e-4	3
Kraken	Beijerinckia	2.0915198655782993e-4	0
Kraken	Bergeyella	3.534288153336519e-4	2
Kraken	Bermanella	1.5952877253347763e-4	2
Kraken	Bernardetia	1.4691879111921151e-4	0
Kraken	Berryella	5.180735901845983e-4	3
Kraken	Beutenbergia	0.001223865	5
Kraken	Bibersteinia	1.5588038487253676e-4	0
Kraken	Bifidobacterium	0.011460927	101
Kraken	Biomaibacter	4.072677227846779e-5	0
Kraken	Bisgaardia	1.1286749192913849e-4	0
Kraken	Blastochloris	0.001691235	8
Kraken	Blastococcus	0.010965463861542705	31
Kraken	Blattabacterium	6.158399925778114e-4	1
Kraken	Blautia	0.004224179	28
Kraken	Bombella	6.9411936843920756e-6	0
Kraken	Bombilactobacillus	5.097414070229466e-5	0
Kraken	Bordetella	0.011685543	83
Kraken	Borrelia	1.631292533204465e-4	1
Kraken	Borreliella	2.832393897752303e-5	0
Kraken	Bosea	0.019506675	104
Kraken	Boseongicola	2.349395657479804e-4	0
Kraken	Botrimarina	7.863561438340463e-4	3
Kraken	Boudabousia	5.165126650691057e-4	1
Kraken	Brachybacterium	0.12544459279794562	171
Kraken	Brachyspira	6.510687398590409e-4	2
Kraken	Bradymonas	1.6487675417057793e-4	0
Kraken	Bradyrhizobium	0.1013888008743751	155
Kraken	Branchiibius	5.444806962702598e-4	0
Kraken	Brasilonema	2.3654635997570777e-4	2
Kraken	Bremerella	2.2431321588031806e-4	0
Kraken	Brenneria	8.312285801511704e-4	3
Kraken	Breoghania	8.447522140871317e-4	0
Kraken	Brevefilum	2.242561435853616e-5	0
Kraken	Brevibacillus	0.001760699	8
Kraken	Brevibacterium	0.35858530098156216	220
Kraken	Brevilactibacter	0.003111206	19
Kraken	Brevirhabdus	8.23687395360717e-4	2
Kraken	Brevundimonas	0.21631269995130864	166
Kraken	Breznakiella	2.0447947397994032e-5	0
