Strain_ID,Body_Site,Site_Type,Genus,Phylum,Family,Species
LK432,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK434,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK444,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK465,Nares,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK466,Nares,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK488,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK519,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK561,Nares,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK586,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK672,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK687,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK820,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK821,Back,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK827,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK855,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK856,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK871,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK872,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK876,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK877,Nares,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK931,Back,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK935,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK936,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK942,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK950,Back,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK955,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK956,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1077,Alar crease,Sebaceous,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1080,Alar crease,Sebaceous,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1082,Nares,Moist,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1245,Alar crease,Sebaceous,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1252,Umbilicus,Moist,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1257,Back,Sebaceous,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1351,Nares,Moist,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1353,Back,Sebaceous,Dermabacter,Actinomycetota,Dermabacteraceae,
LK522,Umbilicus,Moist,Dermabacter,Actinomycetota,Dermabacteraceae,
LK557,Umbilicus,Moist,Dermabacter,Actinomycetota,Dermabacteraceae,
LK1128,Volar forearm,Rarely Moist,Dermacoccus,Actinomycetota,Dermacoccaceae,
LK1386,Umbilicus,Moist,Dermacoccus,Actinomycetota,Dermacoccaceae,
LK836,Alar crease,Sebaceous,Dermacoccus,Actinomycetota,Dermacoccaceae,
LK1006,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1017,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1031,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1046,Back,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1063,Back,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1092,Toe web space,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK1247,Back,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1249,Back,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK1256,Antecubital fossa,Rarely Moist,Dietzia,Actinomycetota,Dietziaceae,
LK1266,Nares,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK1267,Nares,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK1277,Volar forearm,Rarely Moist,Dietzia,Actinomycetota,Dietziaceae,
LK1278,Antecubital fossa,Rarely Moist,Dietzia,Actinomycetota,Dietziaceae,
LK439,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK639,Occiput,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK823,Toe web space,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK826,Antecubital fossa,Rarely Moist,Dietzia,Actinomycetota,Dietziaceae,
LK844,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK845,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK949,Toe web space,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK951,Toe web space,Moist,Dietzia,Actinomycetota,Dietziaceae,
LK984,Alar crease,Sebaceous,Dietzia,Actinomycetota,Dietziaceae,
LK591,Alar crease,Sebaceous,Enterobacter,Pseudomonadota,Enterobacteriaceae,
LK405,Umbilicus,Moist,Enterococcus,Bacillota,Enterococcaceae,
LK1139,Alar crease,Sebaceous,Escherichia,Pseudomonadota,Enterobacteriaceae,
LK1140,Alar crease,Sebaceous,Escherichia,Pseudomonadota,Enterobacteriaceae,
LK1157,Nares,Moist,Escherichia,Pseudomonadota,Enterobacteriaceae,
LK1198,Alar crease,Sebaceous,Escherichia,Pseudomonadota,Enterobacteriaceae,
LK1232,Nares,Moist,Escherichia,Pseudomonadota,Enterobacteriaceae,
LK1054,Nares,Moist,Gordonia,Actinomycetota,Gordoniaceae,
LK1204,Occiput,Sebaceous,Granulicatella,Bacillota,Carnobacteriaceae,
LK1403,Umbilicus,Moist,Helcococcus,Bacillota,Peptostreptococcaceae,
LK617,Umbilicus,Moist,Helcococcus,Bacillota,Peptostreptococcaceae,
LK538,Back,Sebaceous,Janibacter,Actinomycetota,Intrasporangiaceae,
LK679,Back,Sebaceous,Janibacter,Actinomycetota,Intrasporangiaceae,
LK442,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK458,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK461,Volar forearm,Rarely Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK469,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK500,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK501,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK525,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK526,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK527,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK583,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK619,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK670,Nares,Moist,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK858,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK869,Alar crease,Sebaceous,Klebsiella,Pseudomonadota,Enterobacteriaceae,
LK1000,Umbilicus,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1021,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1055,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1060,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1093,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1120,Volar forearm,Rarely Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1184,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1237,Occiput,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK1246,Occiput,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK1250,Antecubital fossa,Rarely Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK1374,Alar crease,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK478,Antecubital fossa,Rarely Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK572,Occiput,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK579,Back,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK698,Back,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK843,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK854,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK866,Toe web space,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK934,Nares,Moist,Kocuria,Actinomycetota,Micrococcaceae,
LK960,Back,Sebaceous,Kocuria,Actinomycetota,Micrococcaceae,
LK662,Umbilicus,Moist,Lysinibacillus,Bacillota,Bacillaceae,
LK664,Umbilicus,Moist,Lysinibacillus,Bacillota,Bacillaceae,
LK666,Alar crease,Sebaceous,Lysinibacillus,Bacillota,Bacillaceae,
LK668,Alar crease,Sebaceous,Lysinibacillus,Bacillota,Bacillaceae,
LK669,Back,Sebaceous,Lysinibacillus,Bacillota,Bacillaceae,
LK675,Alar crease,Sebaceous,Lysinibacillus,Bacillota,Bacillaceae,
LK724,Occiput,Sebaceous,Lysinibacillus,Bacillota,Bacillaceae,
LK1118,Back,Sebaceous,Microbacterium,Actinomycetota,Microbacteriaceae,
LK1002,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1004,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1005,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1007,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1008,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1009,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1011,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1012,Nares,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1013,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1014,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1018,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1019,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1022,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1025,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1026,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1036,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1048,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1049,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1050,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1051,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1053,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1056,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1070,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1072,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1073,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1075,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1076,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1090,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1091,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1099,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1103,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1104,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1105,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1106,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1113,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1117,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1121,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1145,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1147,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1159,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1162,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1168,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1170,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1173,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1186,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1196,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1197,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1206,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1207,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1208,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1216,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1220,Nares,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1224,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1231,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1238,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1258,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1262,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1274,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1275,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1299,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1306,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1330,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1333,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1334,Nares,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1335,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1355,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1356,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1379,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1380,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1382,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1383,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1384,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK1390,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1392,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1393,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1397,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1400,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK1402,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK400,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK402,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK408,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK409,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK410,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK412,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK416,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK419,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK425,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK426,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK427,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK430,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK438,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK441,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK443,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK454,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK455,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK467,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK471,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK517,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK541,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK542,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK552,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK553,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK566,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK567,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK569,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK581,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK587,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK604,Umbilicus,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK622,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK661,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK683,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK694,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK697,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK705,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK719,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK832,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK847,Antecubital fossa,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK863,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK873,Back,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK874,Nares,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK892,Toe web space,Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK903,Volar forearm,Rarely Moist,Micrococcus,Actinomycetota,Micrococcaceae,
LK911,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK941,Alar crease,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK998,Occiput,Sebaceous,Micrococcus,Actinomycetota,Micrococcaceae,
LK945,Volar forearm,Rarely Moist,Micromonospora,Actinomycetota,Micromonosporaceae,
LK1098,Nares,Moist,Morganella,Pseudomonadota,Morganellaceae,
LK1271,Toe web space,Moist,Nesterenkonia,Actinomycetota,Micrococcaceae,
LK518,Volar forearm,Rarely Moist,Nesterenkonia,Actinomycetota,Micrococcaceae,
LK536,Occiput,Sebaceous,Niallia,Bacillota,Bacillaceae,
LK712,Antecubital fossa,Rarely Moist,Niallia,Bacillota,Bacillaceae,
LK1102,Back,Sebaceous,Oceanobacillus,Bacillota,Bacillaceae,
LK1172,Back,Sebaceous,Oceanobacillus,Bacillota,Bacillaceae,
LK1034,Nares,Moist,Paenibacillus,Bacillota,Paenibacillaceae,
LK479,Antecubital fossa,Rarely Moist,Paenibacillus,Bacillota,Paenibacillaceae,
LK450,Toe web space,Moist,Penicillium,Ascomycota,Trichocomaceae,
LK464,Alar crease,Sebaceous,Peribacillus,Bacillota,Bacillaceae,
LK1279,Antecubital fossa,Rarely Moist,Pseudoclavibacter,Actinomycetota,Microbacteriaceae,
LK570,Nares,Moist,Raoultella,Pseudomonadota,Enterobacteriaceae,
LK860,Antecubital fossa,Rarely Moist,Rhodocococcus,Actinomycetota,Nocardiaceae,
LK1081,Nares,Moist,Rothia,Actinomycetota,Micrococcaceae,
LK1083,Nares,Moist,Rothia,Actinomycetota,Micrococcaceae,
LK1086,Volar forearm,Rarely Moist,Rothia,Actinomycetota,Micrococcaceae,
LK1112,Toe web space,Moist,Rothia,Actinomycetota,Micrococcaceae,
LK1244,Alar crease,Sebaceous,Rothia,Actinomycetota,Micrococcaceae,
LK1259,Occiput,Sebaceous,Rothia,Actinomycetota,Micrococcaceae,
LK1263,Occiput,Sebaceous,Rothia,Actinomycetota,Micrococcaceae,
LK1282,Nares,Moist,Rothia,Actinomycetota,Micrococcaceae,
LK1285,Occiput,Sebaceous,Rothia,Actinomycetota,Micrococcaceae,
LK1287,Nares,Moist,Rothia,Actinomycetota,Micrococcaceae,
LK421,Toe web space,Moist,Sphingobacterium,Bacteroidota,Sphingobacteriaceae,
LK485,Toe web space,Moist,Sphingobacterium,Bacteroidota,Sphingobacteriaceae,
LK875,Toe web space,Moist,Sphingobacterium,Bacteroidota,Sphingobacteriaceae,
LK1003,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1015,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,urealyticus
LK1095,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1096,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1110,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1116,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1136,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
