Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-53_S158	S006	Sebaceous_Ba	Corynebacterium	42211.82048
LKMB002-1-53_S158	S006	Sebaceous_Ba	Micrococcus	29073.04192
LKMB002-1-53_S158	S006	Sebaceous_Ba	Other	673991.38528
LKMN002-3-51_S250	S030	Sebaceous_Oc	Staphylococcus	19417342.5566
LKMN002-3-51_S250	S030	Sebaceous_Oc	Corynebacterium	7580942.136
LKMN002-3-51_S250	S030	Sebaceous_Oc	Cutibacterium	706587.0617
LKMN002-3-51_S250	S030	Sebaceous_Oc	Micrococcus	101022.3145
LKMN002-3-51_S250	S030	Sebaceous_Oc	Other	651095.9312
LKMB002-1-93_S92	S012	Sebaceous_Oc	Cutibacterium	30739220.9685
LKMB002-1-93_S92	S012	Sebaceous_Oc	Corynebacterium	5964991.24914
LKMB002-1-93_S92	S012	Sebaceous_Oc	Micrococcus	552075.23646
LKMB002-1-93_S92	S012	Sebaceous_Oc	Staphylococcus	35554.73922
LKMB002-1-93_S92	S012	Sebaceous_Oc	Other	1779299.80668
LKMB002-1-81_S80	S010	Moist_Um	Corynebacterium	19431093.1459
LKMB002-1-81_S80	S010	Moist_Um	Staphylococcus	8015296.57768
LKMB002-1-81_S80	S010	Moist_Um	Cutibacterium	64852.47652
LKMB002-1-81_S80	S010	Moist_Um	Micrococcus	4108.30168
LKMB002-1-81_S80	S010	Moist_Um	Other	1829661.4982
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Cutibacterium	2723030.9988
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Staphylococcus	426202.66396
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Micrococcus	290877.1852
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Corynebacterium	200209.61508
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Other	1366171.53696
LKMB002-1-37_S41	S005	Sebaceous_Ba	Cutibacterium	26301942.0603
LKMB002-1-37_S41	S005	Sebaceous_Ba	Staphylococcus	253455.18136
LKMB002-1-37_S41	S005	Sebaceous_Ba	Corynebacterium	228166.49174
LKMB002-1-37_S41	S005	Sebaceous_Ba	Micrococcus	112804.60426
LKMB002-1-37_S41	S005	Sebaceous_Ba	Other	1517889.66236
LKMB002-2-048_S139	S018	Sebaceous_Oc	Cutibacterium	24836413.224
LKMB002-2-048_S139	S018	Sebaceous_Oc	Staphylococcus	9582624.926
LKMB002-2-048_S139	S018	Sebaceous_Oc	Micrococcus	159376.10248
LKMB002-2-048_S139	S018	Sebaceous_Oc	Corynebacterium	130929.10936
LKMB002-2-048_S139	S018	Sebaceous_Oc	Other	1761160.63816
LKMB002-1-03_S7	S001	Sebaceous_Oc	Cutibacterium	5996073.11336
LKMB002-1-03_S7	S001	Sebaceous_Oc	Micrococcus	302578.74652
LKMB002-1-03_S7	S001	Sebaceous_Oc	Staphylococcus	48530.57432
LKMB002-1-03_S7	S001	Sebaceous_Oc	Corynebacterium	32443.09112
LKMB002-1-03_S7	S001	Sebaceous_Oc	Other	323492.47468
LKMB002-2-062_S153	S020	Sebaceous_Oc	Cutibacterium	20068075.8264
LKMB002-2-062_S153	S020	Sebaceous_Oc	Staphylococcus	16815.67768
LKMB002-2-062_S153	S020	Sebaceous_Oc	Micrococcus	11894.01592
LKMB002-2-062_S153	S020	Sebaceous_Oc	Corynebacterium	4716.59252
LKMB002-2-062_S153	S020	Sebaceous_Oc	Other	405421.88748
LKMN002-3-13_S216	S025	Moist_Tw	Staphylococcus	27424854.8806
LKMN002-3-13_S216	S025	Moist_Tw	Corynebacterium	18808331.5078
LKMN002-3-13_S216	S025	Moist_Tw	Cutibacterium	244575.94784
LKMN002-3-13_S216	S025	Moist_Tw	Micrococcus	92144.84608
LKMN002-3-13_S216	S025	Moist_Tw	Other	2443308.8176
LKMB002-2-091_S198	S023	Moist_Um	Cutibacterium	3808924.98096
LKMB002-2-091_S198	S023	Moist_Um	Corynebacterium	262750.06824
LKMB002-2-091_S198	S023	Moist_Um	Staphylococcus	261595.27218
LKMB002-2-091_S198	S023	Moist_Um	Micrococcus	75197.60226
LKMB002-2-091_S198	S023	Moist_Um	Other	2384450.07636
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Cutibacterium	2939678.68384
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Corynebacterium	1091264.24632
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Staphylococcus	366598.50536
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Micrococcus	29367.25552
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Other	3776235.30896
LKMB002-1-73_S72	S011	Moist_Um	Corynebacterium	29243546.0201
LKMB002-1-73_S72	S011	Moist_Um	Staphylococcus	2710998.07482
LKMB002-1-73_S72	S011	Moist_Um	Cutibacterium	285221.04552
LKMB002-1-73_S72	S011	Moist_Um	Micrococcus	86684.82756
LKMB002-1-73_S72	S011	Moist_Um	Other	14278296.032
LKMB002-2-040_S131	S017	Sebaceous_Ba	Cutibacterium	26146047.774
LKMB002-2-040_S131	S017	Sebaceous_Ba	Staphylococcus	145454.505
LKMB002-2-040_S131	S017	Sebaceous_Ba	Corynebacterium	49374.465
LKMB002-2-040_S131	S017	Sebaceous_Ba	Micrococcus	21351.12
LKMB002-2-040_S131	S017	Sebaceous_Ba	Other	326672.136
LKMB002-1-78_S77	S010	Sebaceous_Ba	Staphylococcus	69855.54112
LKMB002-1-78_S77	S010	Sebaceous_Ba	Cutibacterium	53996.9712
LKMB002-1-78_S77	S010	Sebaceous_Ba	Corynebacterium	41458.48532
LKMB002-1-78_S77	S010	Sebaceous_Ba	Micrococcus	10775.07128
LKMB002-1-78_S77	S010	Sebaceous_Ba	Other	1040061.93108
LKMB002-1-68_S67	S011	Moist_Na	Corynebacterium	24212.30154
LKMB002-1-68_S67	S011	Moist_Na	Staphylococcus	10535.82432
LKMB002-1-68_S67	S011	Moist_Na	Cutibacterium	5036.60976
LKMB002-1-68_S67	S011	Moist_Na	Micrococcus	450.31686
LKMB002-1-68_S67	S011	Moist_Na	Other	32046.94752
LKMB002-1-59_S58	S008	Sebaceous_Al	Cutibacterium	43534340.1976
LKMB002-1-59_S58	S008	Sebaceous_Al	Staphylococcus	121215.2315
LKMB002-1-59_S58	S008	Sebaceous_Al	Corynebacterium	114162.70894
LKMB002-1-59_S58	S008	Sebaceous_Al	Micrococcus	20276.00236
LKMB002-1-59_S58	S008	Sebaceous_Al	Other	288271.85964
LKMB002-1-18_S22	S003	Moist_Na	Cutibacterium	335077.606
LKMB002-1-18_S22	S003	Moist_Na	Corynebacterium	245167.744
LKMB002-1-18_S22	S003	Moist_Na	Staphylococcus	12736.10376
LKMB002-1-18_S22	S003	Moist_Na	Micrococcus	10320.4804
LKMB002-1-18_S22	S003	Moist_Na	Other	298050.06584
LKMB002-1-09_S13	S002	Sebaceous_Al	Cutibacterium	10532109.6373
LKMB002-1-09_S13	S002	Sebaceous_Al	Corynebacterium	703709.19388
LKMB002-1-09_S13	S002	Sebaceous_Al	Staphylococcus	415717.04658
LKMB002-1-09_S13	S002	Sebaceous_Al	Micrococcus	44459.26518
LKMB002-1-09_S13	S002	Sebaceous_Al	Other	3582102.85708
LKMB002-1-33_S37	S004	Moist_Tw	Staphylococcus	20500974.87
LKMB002-1-33_S37	S004	Moist_Tw	Corynebacterium	1931156.2125
LKMB002-1-33_S37	S004	Moist_Tw	Micrococcus	1234628.3775
LKMB002-1-33_S37	S004	Moist_Tw	Cutibacterium	442491.915
LKMB002-1-33_S37	S004	Moist_Tw	Other	10406498.625
LKMN002-3-55_S254	S030	Moist_Um	Corynebacterium	23149847.422
LKMN002-3-55_S254	S030	Moist_Um	Staphylococcus	4341286.70736
LKMN002-3-55_S254	S030	Moist_Um	Cutibacterium	780710.77236
LKMN002-3-55_S254	S030	Moist_Um	Micrococcus	195904.34124
LKMN002-3-55_S254	S030	Moist_Um	Other	598176.75708
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Cutibacterium	1578337.9584
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Staphylococcus	1565196.0032
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Corynebacterium	1053745.8624
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Micrococcus	747027.8336
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Other	5916812.3424
LKMN002-3-44_S243	S029	Rarely_Moist_Vf	Cutibacterium	6631776.53586
LKMN002-3-44_S243	S029	Rarely_Moist_Vf	Micrococcus	599034.90472
LKMN002-3-44_S243	S029	Rarely_Moist_Vf	Corynebacterium	261172.40156
LKMN002-3-44_S243	S029	Rarely_Moist_Vf	Staphylococcus	237313.25884
LKMN002-3-44_S243	S029	Rarely_Moist_Vf	Other	13573508.899
LKMN002-3-05_S208	S024	Moist_Tw	Corynebacterium	22317407.1577
LKMN002-3-05_S208	S024	Moist_Tw	Staphylococcus	4378614.55288
LKMN002-3-05_S208	S024	Moist_Tw	Cutibacterium	197293.04132
LKMN002-3-05_S208	S024	Moist_Tw	Micrococcus	51638.57696
LKMN002-3-05_S208	S024	Moist_Tw	Other	1119490.67116
LKMB002-2-069_S176	S021	Moist_Na	Cutibacterium	577123.84618
LKMB002-2-069_S176	S021	Moist_Na	Corynebacterium	360390.20752
LKMB002-2-069_S176	S021	Moist_Na	Staphylococcus	160439.18706
LKMB002-2-069_S176	S021	Moist_Na	Micrococcus	1228.96338
LKMB002-2-069_S176	S021	Moist_Na	Other	222283.79586
LKMN002-3-02_S205	S024	Rarely_Moist_Vf	Cutibacterium	7281540.44586
LKMN002-3-02_S205	S024	Rarely_Moist_Vf	Micrococcus	897646.7061
LKMN002-3-02_S205	S024	Rarely_Moist_Vf	Corynebacterium	838274.79798
LKMN002-3-02_S205	S024	Rarely_Moist_Vf	Staphylococcus	516755.4966
LKMN002-3-02_S205	S024	Rarely_Moist_Vf	Other	6172636.55346
LKMB002-1-06_S10	S001	Rarely_Moist_Af	Cutibacterium	2744691.5084
LKMB002-1-06_S10	S001	Rarely_Moist_Af	Micrococcus	607522.96568
LKMB002-1-06_S10	S001	Rarely_Moist_Af	Staphylococcus	319579.34212
LKMB002-1-06_S10	S001	Rarely_Moist_Af	Corynebacterium	234778.04098
LKMB002-1-06_S10	S001	Rarely_Moist_Af	Other	10739594.1428
LKMN002-3-87_S286	S033	Sebaceous_Ba	Cutibacterium	21685975.8385
LKMN002-3-87_S286	S033	Sebaceous_Ba	Micrococcus	2378754.9704
LKMN002-3-87_S286	S033	Sebaceous_Ba	Staphylococcus	636291.43146
LKMN002-3-87_S286	S033	Sebaceous_Ba	Corynebacterium	221540.69896
LKMN002-3-87_S286	S033	Sebaceous_Ba	Other	600559.06066
LKMB002-1-91_S90	S012	Sebaceous_Al	Cutibacterium	23489140.6441
LKMB002-1-91_S90	S012	Sebaceous_Al	Staphylococcus	268689.59472
LKMB002-1-91_S90	S012	Sebaceous_Al	Corynebacterium	113145.90348
LKMB002-1-91_S90	S012	Sebaceous_Al	Micrococcus	54146.57232
LKMB002-1-91_S90	S012	Sebaceous_Al	Other	1615713.28536
LKMB002-2-088_S195	S023	Sebaceous_Ba	Cutibacterium	483319.41032
LKMB002-2-088_S195	S023	Sebaceous_Ba	Micrococcus	189013.5564
LKMB002-2-088_S195	S023	Sebaceous_Ba	Staphylococcus	102302.25256
LKMB002-2-088_S195	S023	Sebaceous_Ba	Corynebacterium	80944.78856
LKMB002-2-088_S195	S023	Sebaceous_Ba	Other	20501883.9922
LKMN002-3-59_S258	S031	Moist_Na	Cutibacterium	3628228.15372
LKMN002-3-59_S258	S031	Moist_Na	Corynebacterium	914053.64162
LKMN002-3-59_S258	S031	Moist_Na	Staphylococcus	665148.57684
LKMN002-3-59_S258	S031	Moist_Na	Micrococcus	7975.4026
LKMN002-3-59_S258	S031	Moist_Na	Other	2034960.22522
LKMB002-1-20_S24	S003	Sebaceous_Ba	Micrococcus	1364142.08502
LKMB002-1-20_S24	S003	Sebaceous_Ba	Cutibacterium	1091721.93372
LKMB002-1-20_S24	S003	Sebaceous_Ba	Corynebacterium	228094.16058
LKMB002-1-20_S24	S003	Sebaceous_Ba	Staphylococcus	88165.95084
LKMB002-1-20_S24	S003	Sebaceous_Ba	Other	2088181.86984
LKMN002-3-79_S278	S034	Sebaceous_Ba	Cutibacterium	19919559.9672
LKMN002-3-79_S278	S034	Sebaceous_Ba	Micrococcus	1119812.82624
LKMN002-3-79_S278	S034	Sebaceous_Ba	Staphylococcus	428335.71552
LKMN002-3-79_S278	S034	Sebaceous_Ba	Corynebacterium	345251.25648
LKMN002-3-79_S278	S034	Sebaceous_Ba	Other	2551984.23456
LKMB002-2-082_S189	S022	Rarely_Moist_Af	Staphylococcus	28217111.2373
LKMB002-2-082_S189	S022	Rarely_Moist_Af	Cutibacterium	3710840.99284
LKMB002-2-082_S189	S022	Rarely_Moist_Af	Corynebacterium	84352.57102
LKMB002-2-082_S189	S022	Rarely_Moist_Af	Micrococcus	16467.23498
LKMB002-2-082_S189	S022	Rarely_Moist_Af	Other	1577829.9639
LKMB002-2-074_S181	S021	Moist_Um	Corynebacterium	32571666.267
LKMB002-2-074_S181	S021	Moist_Um	Cutibacterium	213610.44544
LKMB002-2-074_S181	S021	Moist_Um	Staphylococcus	156281.17148
LKMB002-2-074_S181	S021	Moist_Um	Micrococcus	42800.62234
LKMB002-2-074_S181	S021	Moist_Um	Other	6282267.49374
LKMB002-2-095_S202	S024	Moist_Na	Corynebacterium	67616.70214
LKMB002-2-095_S202	S024	Moist_Na	Cutibacterium	35982.7819
LKMB002-2-095_S202	S024	Moist_Na	Staphylococcus	7218.43928
LKMB002-2-095_S202	S024	Moist_Na	Micrococcus	404.10422
LKMB002-2-095_S202	S024	Moist_Na	Other	34663.97246
LKMB002-2-039_S130	S017	Sebaceous_Oc	Cutibacterium	19118011.8437
LKMB002-2-039_S130	S017	Sebaceous_Oc	Staphylococcus	1370476.02632
LKMB002-2-039_S130	S017	Sebaceous_Oc	Corynebacterium	73586.92502
LKMB002-2-039_S130	S017	Sebaceous_Oc	Micrococcus	7723.40904
LKMB002-2-039_S130	S017	Sebaceous_Oc	Other	884115.79594
LKMN002-3-73_S272	S032	Moist_Um	Corynebacterium	34463158.5876
LKMN002-3-73_S272	S032	Moist_Um	Staphylococcus	10820063.213
LKMN002-3-73_S272	S032	Moist_Um	Cutibacterium	995246.19052
LKMN002-3-73_S272	S032	Moist_Um	Micrococcus	71980.197
LKMN002-3-73_S272	S032	Moist_Um	Other	1636349.8118
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Cutibacterium	460049.64878
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Staphylococcus	127527.35398
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Corynebacterium	69977.412
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Micrococcus	13386.41974
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Other	624937.1655
LKMB002-2-027_S118	S014	Moist_Tw	Staphylococcus	380817.7092
LKMB002-2-027_S118	S014	Moist_Tw	Cutibacterium	84248.43804
LKMB002-2-027_S118	S014	Moist_Tw	Corynebacterium	18429.7437
LKMB002-2-027_S118	S014	Moist_Tw	Micrococcus	11274.29226
LKMB002-2-027_S118	S014	Moist_Tw	Other	141835.8168
LKMB002-2-019_S110	S015	Moist_Tw	Corynebacterium	25729849.3202
LKMB002-2-019_S110	S015	Moist_Tw	Staphylococcus	17411697.7791
LKMB002-2-019_S110	S015	Moist_Tw	Cutibacterium	68923.97304
LKMB002-2-019_S110	S015	Moist_Tw	Micrococcus	25625.57972
LKMB002-2-019_S110	S015	Moist_Tw	Other	945937.34794
LKMB002-1-84_S83	S009	Moist_Na	Corynebacterium	1682696.11488
LKMB002-1-84_S83	S009	Moist_Na	Cutibacterium	184892.68688
LKMB002-1-84_S83	S009	Moist_Na	Staphylococcus	54188.19824
LKMB002-1-84_S83	S009	Moist_Na	Micrococcus	1419.1584
LKMB002-1-84_S83	S009	Moist_Na	Other	442067.8416
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Cutibacterium	5139736.9641
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Micrococcus	3327331.8699
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Staphylococcus	782130.3228
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Corynebacterium	328947.0993
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Other	6811843.7439
LKMN002-3-69_S268	S032	Sebaceous_Oc	Cutibacterium	14051129.4782
LKMN002-3-69_S268	S032	Sebaceous_Oc	Staphylococcus	893443.39752
LKMN002-3-69_S268	S032	Sebaceous_Oc	Micrococcus	89311.50464
LKMN002-3-69_S268	S032	Sebaceous_Oc	Corynebacterium	65998.57512
LKMN002-3-69_S268	S032	Sebaceous_Oc	Other	1317673.04456
LKMB002-1-42_S46	S007	Sebaceous_Al	Cutibacterium	10181578.5108
LKMB002-1-42_S46	S007	Sebaceous_Al	Staphylococcus	256180.068
LKMB002-1-42_S46	S007	Sebaceous_Al	Corynebacterium	85393.356
LKMB002-1-42_S46	S007	Sebaceous_Al	Micrococcus	3860.2476
LKMB002-1-42_S46	S007	Sebaceous_Al	Other	1170707.8176
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Micrococcus	448324.69218
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Cutibacterium	318315.85614
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Corynebacterium	88663.32066
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Staphylococcus	27774.7458
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Other	556027.38522
LKMN002-3-32_S235	S028	Moist_Na	Cutibacterium	327694.19018
LKMN002-3-32_S235	S028	Moist_Na	Corynebacterium	141651.0515
LKMN002-3-32_S235	S028	Moist_Na	Staphylococcus	127981.81172
LKMN002-3-32_S235	S028	Moist_Na	Micrococcus	1622.83212
LKMN002-3-32_S235	S028	Moist_Na	Other	94568.11448
LKMB002-2-064_S155	S020	Rarely_Moist_Vf	Cutibacterium	3780151.2612
LKMB002-2-064_S155	S020	Rarely_Moist_Vf	Micrococcus	1253834.11116
LKMB002-2-064_S155	S020	Rarely_Moist_Vf	Staphylococcus	228551.45724
LKMB002-2-064_S155	S020	Rarely_Moist_Vf	Corynebacterium	123736.31604
LKMB002-2-064_S155	S020	Rarely_Moist_Vf	Other	1419904.85436
LKMB002-1-69_S68	S011	Sebaceous_Oc	Cutibacterium	1328429.3781
LKMB002-1-69_S68	S011	Sebaceous_Oc	Staphylococcus	1193758.08684
LKMB002-1-69_S68	S011	Sebaceous_Oc	Micrococcus	339760.30968
LKMB002-1-69_S68	S011	Sebaceous_Oc	Corynebacterium	145954.84398
LKMB002-1-69_S68	S011	Sebaceous_Oc	Other	7439831.3814
LKMN002-3-41_S168	S029	Moist_Na	Cutibacterium	1553566.54622
LKMN002-3-41_S168	S029	Moist_Na	Corynebacterium	500670.57046
LKMN002-3-41_S168	S029	Moist_Na	Staphylococcus	42034.89656
LKMN002-3-41_S168	S029	Moist_Na	Micrococcus	2644.4273
LKMN002-3-41_S168	S029	Moist_Na	Other	200585.55946
LKMN002-3-86_S285	S033	Sebaceous_Oc	Cutibacterium	14357644.0668
LKMN002-3-86_S285	S033	Sebaceous_Oc	Staphylococcus	869238.89916
LKMN002-3-86_S285	S033	Sebaceous_Oc	Micrococcus	713600.92648
LKMN002-3-86_S285	S033	Sebaceous_Oc	Corynebacterium	174373.69484
LKMN002-3-86_S285	S033	Sebaceous_Oc	Other	319986.41268
LKMB002-1-04_S8	S001	Sebaceous_Ba	Cutibacterium	39989274.0178
LKMB002-1-04_S8	S001	Sebaceous_Ba	Micrococcus	275504.63548
LKMB002-1-04_S8	S001	Sebaceous_Ba	Staphylococcus	77727.30484
LKMB002-1-04_S8	S001	Sebaceous_Ba	Corynebacterium	37439.33008
LKMB002-1-04_S8	S001	Sebaceous_Ba	Other	314978.71176
LKMB002-1-66_S65	S008	Moist_Tw	Corynebacterium	39417506.5581
LKMB002-1-66_S65	S008	Moist_Tw	Staphylococcus	2230112.2825
LKMB002-1-66_S65	S008	Moist_Tw	Micrococcus	94861.36148
LKMB002-1-66_S65	S008	Moist_Tw	Cutibacterium	41338.6667
LKMB002-1-66_S65	S008	Moist_Tw	Other	1730567.13122
LKMN002-3-31_S234	S028	Sebaceous_Al	Cutibacterium	16185524.49
LKMN002-3-31_S234	S028	Sebaceous_Al	Staphylococcus	666216.171
LKMN002-3-31_S234	S028	Sebaceous_Al	Corynebacterium	9781.884
LKMN002-3-31_S234	S028	Sebaceous_Al	Micrococcus	2270.7945
LKMN002-3-31_S234	S028	Sebaceous_Al	Other	603856.6605
LKMB002-1-41_S45	S005	Moist_Tw	Corynebacterium	33903840.1824
LKMB002-1-41_S45	S005	Moist_Tw	Staphylococcus	10036218.16
LKMB002-1-41_S45	S005	Moist_Tw	Cutibacterium	89714.2752
LKMB002-1-41_S45	S005	Moist_Tw	Micrococcus	16764.7888
LKMB002-1-41_S45	S005	Moist_Tw	Other	1263702.5936
LKMB002-1-35_S39	S005	Moist_Na	Cutibacterium	71904.38864
LKMB002-1-35_S39	S005	Moist_Na	Staphylococcus	39621.70814
LKMB002-1-35_S39	S005	Moist_Na	Corynebacterium	23970.75016
LKMB002-1-35_S39	S005	Moist_Na	Micrococcus	1590.05714
LKMB002-1-35_S39	S005	Moist_Na	Other	59459.09592
LKMB002-1-74_S73	S011	Moist_Tw	Staphylococcus	20146633.763
LKMB002-1-74_S73	S011	Moist_Tw	Cutibacterium	1695177.93552
LKMB002-1-74_S73	S011	Moist_Tw	Corynebacterium	580958.2488
LKMB002-1-74_S73	S011	Moist_Tw	Micrococcus	430935.14016
LKMB002-1-74_S73	S011	Moist_Tw	Other	4876998.91248
LKMB002-1-27_S31	S004	Moist_Na	Cutibacterium	179227.2795
LKMB002-1-27_S31	S004	Moist_Na	Corynebacterium	81547.205
LKMB002-1-27_S31	S004	Moist_Na	Staphylococcus	17938.223
LKMB002-1-27_S31	S004	Moist_Na	Micrococcus	1059.429
LKMB002-1-27_S31	S004	Moist_Na	Other	80577.8635
LKMB002-2-014_S105	S015	Sebaceous_Oc	Cutibacterium	14328384.9856
LKMB002-2-014_S105	S015	Sebaceous_Oc	Staphylococcus	1894176.89184
LKMB002-2-014_S105	S015	Sebaceous_Oc	Corynebacterium	698949.87414
LKMB002-2-014_S105	S015	Sebaceous_Oc	Micrococcus	38121.35916
LKMB002-2-014_S105	S015	Sebaceous_Oc	Other	527228.8893
LKMN002-3-45_S244	S029	Rarely_Moist_Af	Cutibacterium	5687054.32992
LKMN002-3-45_S244	S029	Rarely_Moist_Af	Micrococcus	736556.03
LKMN002-3-45_S244	S029	Rarely_Moist_Af	Staphylococcus	629229.2942
LKMN002-3-45_S244	S029	Rarely_Moist_Af	Corynebacterium	399844.702
LKMN002-3-45_S244	S029	Rarely_Moist_Af	Other	13591773.6439
LKMB002-2-077_S184	S022	Sebaceous_Al	Cutibacterium	6982841.85372
LKMB002-2-077_S184	S022	Sebaceous_Al	Staphylococcus	189573.21414
LKMB002-2-077_S184	S022	Sebaceous_Al	Corynebacterium	111034.58778
LKMB002-2-077_S184	S022	Sebaceous_Al	Micrococcus	241.90542
LKMB002-2-077_S184	S022	Sebaceous_Al	Other	779822.43894
LKMN002-3-67_S266	S032	Sebaceous_Al	Cutibacterium	52302023.8299
LKMN002-3-67_S266	S032	Sebaceous_Al	Staphylococcus	420392.2476
LKMN002-3-67_S266	S032	Sebaceous_Al	Corynebacterium	6401.9124
LKMN002-3-67_S266	S032	Sebaceous_Al	Micrococcus	4267.9416
LKMN002-3-67_S266	S032	Sebaceous_Al	Other	616184.0685
LKMN002-3-04_S207	S024	Moist_Um	Corynebacterium	5326960.44728
LKMN002-3-04_S207	S024	Moist_Um	Cutibacterium	2326660.87928
LKMN002-3-04_S207	S024	Moist_Um	Staphylococcus	1091894.73564
LKMN002-3-04_S207	S024	Moist_Um	Micrococcus	169124.02922
LKMN002-3-04_S207	S024	Moist_Um	Other	8944285.90858
LKMB002-2-010_S101	S013	Moist_Um	Corynebacterium	26038906.5367
LKMB002-2-010_S101	S013	Moist_Um	Cutibacterium	1525827.78744
LKMB002-2-010_S101	S013	Moist_Um	Staphylococcus	207841.85664
LKMB002-2-010_S101	S013	Moist_Um	Micrococcus	25688.31936
LKMB002-2-010_S101	S013	Moist_Um	Other	1393007.49984
LKMB002-2-023_S114	S014	Sebaceous_Ba	Micrococcus	2637046.58122
LKMB002-2-023_S114	S014	Sebaceous_Ba	Staphylococcus	1670600.84308
LKMB002-2-023_S114	S014	Sebaceous_Ba	Cutibacterium	1390360.15258
LKMB002-2-023_S114	S014	Sebaceous_Ba	Corynebacterium	125650.4011
LKMB002-2-023_S114	S014	Sebaceous_Ba	Other	1502896.02202
LKMN002-3-08_S211	S025	Sebaceous_Oc	Cutibacterium	49713030.5549
LKMN002-3-08_S211	S025	Sebaceous_Oc	Staphylococcus	561004.86288
LKMN002-3-08_S211	S025	Sebaceous_Oc	Corynebacterium	195890.18064
LKMN002-3-08_S211	S025	Sebaceous_Oc	Micrococcus	144610.02864
