BodySite	Permutation	CumulativeDepth	GCFsDiscovered
Moist_Um	4	5e8-6e8	95
Moist_Um	4	6e8-7e8	95
Moist_Um	4	6e8-7e8	95
Moist_Um	4	7e8-8e8	95
Moist_Um	4	7e8-8e8	95
Moist_Um	4	7e8-8e8	95
Moist_Um	4	7e8-8e8	95
Moist_Um	4	8e8-9e8	95
Moist_Um	4	8e8-9e8	96
Moist_Um	4	8e8-9e8	98
Moist_Um	5	0-1e8	12
Moist_Um	5	0-1e8	15
Moist_Um	5	1e8-2e8	25
Moist_Um	5	1e8-2e8	25
Moist_Um	5	1e8-2e8	35
Moist_Um	5	1e8-2e8	35
Moist_Um	5	2e8-3e8	48
Moist_Um	5	2e8-3e8	57
Moist_Um	5	2e8-3e8	57
Moist_Um	5	2e8-3e8	61
Moist_Um	5	2e8-3e8	61
Moist_Um	5	2e8-3e8	66
Moist_Um	5	3e8-4e8	66
Moist_Um	5	3e8-4e8	70
Moist_Um	5	4e8-5e8	77
Moist_Um	5	4e8-5e8	77
Moist_Um	5	4e8-5e8	77
Moist_Um	5	4e8-5e8	77
Moist_Um	5	4e8-5e8	79
Moist_Um	5	5e8-6e8	79
Moist_Um	5	5e8-6e8	81
Moist_Um	5	5e8-6e8	83
Moist_Um	5	5e8-6e8	83
Moist_Um	5	6e8-7e8	83
Moist_Um	5	6e8-7e8	87
Moist_Um	5	6e8-7e8	88
Moist_Um	5	6e8-7e8	91
Moist_Um	5	7e8-8e8	91
Moist_Um	5	7e8-8e8	96
Moist_Um	5	7e8-8e8	96
Moist_Um	5	7e8-8e8	97
Moist_Um	5	8e8-9e8	97
Moist_Um	5	8e8-9e8	98
Moist_Um	6	0-1e8	31
Moist_Um	6	0-1e8	31
Moist_Um	6	0-1e8	36
Moist_Um	6	0-1e8	36
Moist_Um	6	0-1e8	37
Moist_Um	6	1e8-2e8	43
Moist_Um	6	1e8-2e8	53
Moist_Um	6	1e8-2e8	61
Moist_Um	6	1e8-2e8	63
Moist_Um	6	2e8-3e8	67
Moist_Um	6	2e8-3e8	73
Moist_Um	6	3e8-4e8	73
Moist_Um	6	3e8-4e8	74
Moist_Um	6	3e8-4e8	74
Moist_Um	6	4e8-5e8	78
Moist_Um	6	4e8-5e8	84
Moist_Um	6	4e8-5e8	84
Moist_Um	6	5e8-6e8	85
Moist_Um	6	5e8-6e8	85
